Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
40,211939976286453760,"Ufo Alerts: UFOs Filmed in Colorado Springs, CO - June 4, 2012 - YouTube: http://t.co/tkcCg3LM Strange ... http://t.co/VCiq0mmr",Not labeled,Not labeled,Not related
41,211948511690895361,RT @monikarun: Apocalypse #highparkfire   @ Taste of Fort Collins http://t.co/tjhlJqLU,Not labeled,Not labeled,Not related
42,211949036004057089,MT “@monikarun: #highparkfire @ Taste of Fort Collins http://t.co/InUMas5e” crazy. Kinda glad I'm not going now. But will miss Mat Kearney,Not labeled,Not labeled,Not related
58,212056699572469760,#telluride #colorado #landscape  http://t.co/YU7bQZvb,Not labeled,Not labeled,Not related
75,212220457783541761,"I'm at East Library (Colorado Springs, CO) http://t.co/kKcZlWYr",Not labeled,Not labeled,Not related
91,212311717449973761,#boulder #colorado #hiking  @ Mount Sanitas Summit http://t.co/h26XBU70,Not labeled,Not labeled,Not related
100,212403224576131072,"Smokey sunset #highparkfire #sunset #nature  @ Fort Collins, CO http://t.co/MWlr6Fju",Not labeled,Not labeled,Not related
101,212412775027314690,So proud of the Colorado Springs Air Force graduating class.  You guys did it!,Not labeled,Not labeled,Not related
113,212572162786201601,"RT @USParalympics: .@USATriathlon is hiring a paratriathlon manager to work in Colorado Springs, Colo., and oversee the paratri program: ...",Not labeled,Not labeled,Not related
130,212645420487282690,More details on Yuma Firefighter who died in rollover accident: http://t.co/2vvvcuMO via @KSWT #azfire #wildfire #fire,Not labeled,Not labeled,Not related
141,212740098519871490,Thx!! RT @CommUlinks: Read Charitable #Colorado ▸ today's top stories via @Summit54 @UrbanLandC @WalkingMtns  ▸ http://t.co/zZhZxxto,Not labeled,Not labeled,Not related
143,212750642970771457,@glennbeck you are looking better.  Hope you come back to Colorado Springs sometime soon.,Not labeled,Not labeled,Not related
144,212790421754085376,Colorado Springs hiring outlook improves - The Business Journal http://t.co/0zjG0D9l,Not labeled,Not labeled,Not related
149,212860399547187201,"Search Healthcare $ Registered Nurse (RN) at Select Specialty Hospital (Colorado Springs, CO)  http://t.co/f8kzUhbr",Not labeled,Not labeled,Not related
153,212940548472971264,@amitvkaushik Poncha Springs Colorado CO http://t.co/mIFtULJy,Not labeled,Not labeled,Not related
161,213025390875246593,"Other/Attorney/In House/Colorado Springs, Colorado - USA-CO-Colorado Springs: License Management Analyst 3-Fin  ... http://t.co/W8w853M5",Not labeled,Not labeled,Not related
163,213059129852436481,@BravoTangoTees Sara in Colorado Springs ... #BTturns1,Not labeled,Not labeled,Not related
164,213066859971477504,#colorado Team USA to Compete at Pan Am Zonal Fencing Championships in ... http://t.co/hvZgtbHE,Not labeled,Not labeled,Not related
166,213084463436009474,I miss my sister already. #colorado,Not labeled,Not labeled,Not related
167,213087655309746176,"Love sippin this @BoulderBeerCo Singletrack while on the train in Glenwood Canyon, #Colorado! http://t.co/F1AN2YEf",Not labeled,Not labeled,Not related
168,213092076093587457,Miss it already #Colorado http://t.co/jOT4Ul34,Not labeled,Not labeled,Not related
170,213121226510565376,"New post: NEW POLL: High Support for Marijuana Legalization in Colorado, 61% Say Regulate Like Alc http://t.co/eZPVrx9r #CO #Colorado",Not labeled,Not labeled,Not related
173,213137450086838272,Can it be Sunday morning already? #Colorado #Plz #IHateTexas,Not labeled,Not labeled,Not related
175,213263585382637568,Colorado I'll see you soon #colorado #heaven #sonicbloom #festyseason #mountains 💗💗💗 http://t.co/2KlguV2G,Not labeled,Not labeled,Not related
176,213265103724888064,Armed robbers get away: Colorado Springs police say two black men entered the Ambassador Adult Entertainment Store... http://t.co/4oUiDEGE,Not labeled,Not labeled,Not related
179,213278894600634369,"Forlan no Inter: sites na europa dizem que sim. Mas lembrem-se, a fonte de todos eles é o Neto. | #Inter #Colorado",Not labeled,Not labeled,Not applicable
180,213290454127616003,#ayp #arvada #colorado (@ Personal Benefit Services Wealth Management w/ @erika1h) http://t.co/RYrXPlCQ: #ayp #a... http://t.co/XFDFP3lB,Not labeled,Not labeled,Not related
199,213570046407081984,"Strawberry Days social networking brings talent to more than one ...: GLENWOOD SPRINGS, Colorado — Strawberry Da... http://t.co/fg1JKIRu",Not labeled,Not labeled,Not related
204,213638946247278592,RT @cwalkertime23: Goodluck bro do work . RT @jahprobound: Wheels up. Off to Colorado springs. ✌✈,Not labeled,Not labeled,Not related
205,213641974534782979,Anything Goes opens summer season at RMRT http://t.co/m13SYv7A #colorado,Not labeled,Not labeled,Not related
206,213646131098435587,Larry Austin jr headed to Colorado Springs for Fiba U17 World Championship tryouts #teamrose,Not labeled,Not labeled,Not related
211,213714917654667265,Selling your Colorado Springs Colorado home? http://t.co/bui6YnzJ http://t.co/N1CKh6yV,Not labeled,Not labeled,Not related
212,213737516602372097,"#wyzant #jobs #ColoradoSprings A student in Colorado Springs, CO is looking for a tutor in elementary (k-6th): http://t.co/TFpezc8A",Not labeled,Not labeled,Not related
216,213826372911636480,"#Internship Product Management Internship: DiversityWorking - Fort Collins, CO -  for an inter... http://t.co/c1IIdXq1 #Colorado #intern",Not labeled,Not labeled,Not related
221,214065674748825602,"1908 photo Colorado Midland Band, Colorado Springs, Colo.. Male band posed on stage.: 1908 photo Colorado Midlan... http://t.co/YOd31WMS",Not labeled,Not labeled,Not related
223,214137082774425600,Looks a lot like MOMA-San Francisco; I suspect the same architect. #denver #colorado #r  @ Denver Art Museum http://t.co/HFzKRH1d,Not labeled,Not labeled,Not related
224,214149426611101696,"Full Time Housekeeper - Colorado Springs, CO http://t.co/YHyszwaE",Not labeled,Not labeled,Not related
225,214158679220559872,BetRebels Live: (USA-MLS) #Vancouver Whitecaps vs #Colorado Rapids: 1-0: Goal for Vancouver Whitecaps http://t.co/GJGwRBmq @betrebels,Not labeled,Not labeled,Not related
228,214170347774291969,This is a beautiful state #Colorado,Not labeled,Not labeled,Not related
232,214207349949349888,@thewantedmusic  I would love If you came to Colorado Springs so I don't have to only see you on YouTube,Not labeled,Not labeled,Not related
235,214233753072041986,Denver ties for nation's microbrew capital; Colorado Springs not far ...: Browse Food/Drink. Food/Drink Home Pag... http://t.co/nHU6w5C7,Not labeled,Not labeled,Not related
246,214519502602383360,Search ends for Japanese climbers on Mt. McKinley http://t.co/8ePHqLTm #sumco #colorado,Not labeled,Not labeled,Not related
247,214521964692389889,"3 days and its just me, family and the joy of waking up to the mountains right outside my window. #Colorado #excited",Not labeled,Not labeled,Not related
251,214569351930576896,Biking is better than most things. #mtb #colorado #sunset #bike #nature #sky  http://t.co/2QMscFfC,Not labeled,Not labeled,Not related
254,214706371466235906,"2bd 2ba ranch townhouse in desirable Hover Ridge in #Longmont | $224,900 | call Suz: 720.810.0683 #realestate #property #boulder #colorado",Not labeled,Not labeled,Not related
258,214763543998898176,"Rockus - Photos: David Bazan at Fuel/Friends House Show, Colorado Springs http://t.co/VngCD2sM",Not labeled,Not labeled,Not related
259,214769118254071808,See if our business loans are right for you. http://t.co/BcexcR8d #construction #commercial #Colorado #Business #Economy,Not labeled,Not labeled,Not related
260,214789578056404992,RT @etniesBMX: That park is Amazing! “@NinaBurrito: Thanks etnies for helpin us on the #yeahzinetrip we made it to Colorado Springs!! ht ...,Not labeled,Not labeled,Not related
262,214810230821879808,"RT @conewswire: Jogger hit, killed by vehicle in Denver is identified http://t.co/xhtcKDPG #colorado",Not labeled,Not labeled,Not related
268,214887737352912896,Hyatt Regency 80202 Selected Colorado Airport Transportation 720-535-6030 #denver #colorado #airport #transportation #hyattregency #shuttle,Not labeled,Not labeled,Not related
272,214990296453357568,"Adventure Park di Glenwood Springs, Colorado http://t.co/Kf2bmFbZ… tertinggi-di-dunia @VIVAnews #SIMAKnews  76",Not labeled,Not labeled,Not related
280,215087600128634880,"RT @peta: Security guard exposes elephant beatings by @RinglingTweets in Colorado Springs, CO: http://t.co/nZatZwjY #ElephantsNeverForget",Not labeled,Not labeled,Not related
281,215091072999763968,On our way to Colorado springs! Pumped to be in the mountains,Not labeled,Not labeled,Not related
284,215107950874861569,RT @grouptour: High-elevation roller coaster opens at #Colorado’s @GlenwoodCaverns Adventure Park : http://t.co/Aiz3cCaZ #TT,Not labeled,Not labeled,Not related
286,215121255215542272,#Personhood is back in #Colorado-check out this pic to get the lowdown #3xNoCharm #COPolitics http://t.co/8dAmsrkj,Not labeled,Not labeled,Not related
288,215132047172308994,"What? RT @danieljchacon: At about 71 percent, the city of Colorado Springs is the greatest funder of PPRTA, says Bach.",Not labeled,Not labeled,Not related
290,215150707609845760,"I'm at WolfWind (Colorado Springs, Colorado) http://t.co/Jp7DbxBy",Not labeled,Not labeled,Not related
295,215261927994167296,"Wells Fargo is now looking for qualified #job applicants in Colorado Springs, CO. http://t.co/8dKKj7LX #tweetmyjobs",Not labeled,Not labeled,Not related
296,215271793001369600,Cameras come out when the BBoys start dancing... #bboy #breaklife #denver #colorado  http://t.co/gs1GvSuH,Not labeled,Not labeled,Not related
297,215277044244819968,Went back in the ole memory banks and relived a mountain hike with my late great brother Mike. Posting about it tomorrow. #Colorado #hiking,Not labeled,Not labeled,Not related
298,215277946032758784,@GMInsideNews @Holden We need that truck here! #Colorado #GMchat,Not labeled,Not labeled,Not related
300,215303988445319170,#Colorado #Sky Watch RedGage - http://t.co/siWOZ5An,Not labeled,Not labeled,Not related
303,215426868973801473,"FULL F LOAD FROM LAS VEGAS, NV TO COLORADO SPRINGS, CO ON JUN 20. 813 MILES. http://t.co/xDVCqcPp",Not labeled,Not labeled,Not related
304,215433714094710784,"Pro Power Rooter, Colorado Springs, CO http://t.co/y3O8fKP2",Not labeled,Not labeled,Not related
306,215458431111405568,"Today's Photo - Girafe at the Denver Zoo - Denver, Colorado - http://t.co/AY8jmQsc #tbex #tbexrr #colorado @VisitDenver #photography",Not labeled,Not labeled,Not related
308,215476110127927297,RT @teknomantik: Beware of misinformation and agendas: Check sources before retweeting. Let's keep it factual! #HighParkFire,Not labeled,Not labeled,Not related
309,215518451614236674,"LOVELL WINS BIG AT THE BIG HOUSE: Colorado Springs, CO 6/19/12 - Brad Lovell set the pro-light class on fire thi... http://t.co/Q8LzlM8b",Not labeled,Not labeled,Not related
310,215527213519482881,Colorado LGBT Military Leads Gay Pride Parade http://t.co/JHFQA8jB #colorado,Not labeled,Not labeled,Not related
316,215578753118633984,RT @csgazette: Young moose stuck in #Colorado skate park dies after being tranquilized http://t.co/OFVQ2BD8 @outthereco,Not labeled,Not labeled,Not related
317,215596876714606592,"The heat buster!   @ Colorado Springs, CO http://t.co/B8OZsdQN",Not labeled,Not labeled,Not related
318,215690019640315904,Mineral Lease District is poised for first grant awards http://t.co/ve9PH9k9 #colorado,Not labeled,Not labeled,Not related
319,215694696259919872,"RT @hollye83: Interested in writing a letter to the USOC? United States Olympic Committee, 27 South Tejon, Colorado Springs, CO 80903 #R ...",Not labeled,Not labeled,Not related
324,215826640696123392,@FortCollinsBrew 1900 considered the pride of #Colorado.  Do u agree?   http://t.co/vMeqLpD9,Not labeled,Not labeled,Not related
325,215854406996996096,Campus and community preparing for medical school | http://t.co/ypg51dNG | Colorado Springs | Pueblo |: http://t.co/ZJYduzcM,Not labeled,Not labeled,Not related
328,215882814997004288,In case you missed it --&gt; Welcome to Denver http://t.co/xWauVQXH #TBEX #Colorado,Not labeled,Not labeled,Not related
329,215885881016463360,RT @romenesko: AJR editor says good for Barrett Tryon for telling Colorado Springs Gazette to take this job and shove it. http://t.co/oW ...,Not labeled,Not labeled,Not related
330,215907372638539777,@amy_realtor Does it again Happy buyer clients!  #HUD property today!  303 W Lehow  #Englewood #Colorado sold/closed! http://t.co/wHItLepg,Not labeled,Not labeled,Not related
331,215916281336037376,Medical Assistant - Orthopedics - Colorado Springs http://t.co/wvCPxVYB #cospringsmedicalassistant,Not labeled,Not labeled,Not related
332,215935667430109186,Reasonable Cable Television and Internet Deal in Colorado Springs CO http://t.co/MSwRJv6K,Not labeled,Not labeled,Not related
333,215941765952323586,@Real_Liam_Payne How was your day today? (: #Colorado,Not labeled,Not labeled,Not related
334,215951618368225280,@Real_Liam_Payne it needs to be July 24th 2013 already! my bestie and I are so excited for our concert. I love you guys! :)xx  #Colorado,Not labeled,Not labeled,Not related
335,215957985296515075,@Real_Liam_Payne I'm si excited to hear it #Colorado,Not labeled,Not labeled,Not related
336,215976524153765888,Love it! RT @bargainblessing: I love visiting the Colorado Springs zoo here in #Colorado. Feeding the giraffes is the best! #SavingsNation,Not labeled,Not labeled,Not related
340,216238169002229761,Stellar's Jay Perches on Evergreen Branch http://t.co/CHRlM7Yk #Colorado #RMNP http://t.co/Ox5ja5qf,Not labeled,Not labeled,Not related
344,216276525945847809,"Are you a Statistics expert and looking for extra money as a tutor in the Colorado Springs, CO area? - check this out: http://t.co/SwMDNr5t",Not labeled,Not labeled,Not related
347,216340732338905088,Me too;) RT @JKsCOGirl: @dannywood I'm very excited to walk for two Team Betty's this year in Colorado Springs and Denver! :),Not labeled,Not labeled,Not related
354,216369501049065472,Just chillin with @katiearledge little sister in Colorado springs haha,Not labeled,Not labeled,Not related
355,216374014132760576,"We're number 5 on the ReverbNation Country charts for Colorado Springs, CO. http://t.co/UCe9ORYA",Not labeled,Not labeled,Not related
356,216519560663281664,RT @TransNewsDaily: Denver sheriff’s department plans new policies for #transgender inmates #trans #colorado htt... http://t.co/cliLvS7M,Not labeled,Not labeled,Not related
357,216523499123126272,Larimer County Landscape Explorer updated with latest IR boundary.  http://t.co/Jx5umIdi #highparkfire,Not labeled,Not labeled,Not related
367,216656810902437889,@TheWorldCalls we lived in #Colorado for 4 years and go back every year to ski! We used to camp near the Castle! He is an interesting man!,Not labeled,Not labeled,Not related
370,216674120782462977,Currently 4th warmest June ever recorded for #Denver.  #cowx #colorado http://t.co/03pKmq6r,Not labeled,Not labeled,Not related
372,216706395951742977,"I'm at Pizza Time (Colorado Springs, CO) http://t.co/LKnprGVY",Not labeled,Not labeled,Not related
373,216713333322166272,"@KingTimJames #Sunset #telluride #colorado #mountai red sky at night, sailors delight. Looks like tomorrow will be a good day my man. Enjoy",Not labeled,Not labeled,Not related
374,216741229650649088,RT @jeffestes: #weberfire http://t.co/2pZqhWAS  #cofire,Not labeled,Not labeled,Not applicable
375,216741565182386176,"11th Annual Lakewood SK8 competition: LakewoodSK8, the action sports program at First Baptis... http://t.co/wySOMhch #Colorado #News #US",Not labeled,Not labeled,Not related
379,216764575146704898,Thank you Firefighters .  There are so many fires going on in Colorado right now and you are doing an awesome job.,Not labeled,Not labeled,Not related
384,216911086354575363,#Colorado #redneck yee-haw!! http://t.co/pF4J89tO,Not labeled,Not labeled,Not related
385,216912374014296065,Headin up to Colorado Springs this morning to worship with @NewLifeColorado my future family! :),Not labeled,Not labeled,Not related
397,216982817379328001,A nice view camping this weekend. #colorado #jeep http://t.co/ewUgtHTW,Not labeled,Not labeled,Not related
400,217001175822766082,RT @mmfband: Who's coming to our show in Colorado springs tonight?!?! Come watch the amazing Jimmy rose juggle human beings!,Not labeled,Not labeled,Not related
401,217003344294715394,I do not agree that it feels like 96 #COFire #Denver #summertime http://t.co/BWGZlEfd,Not labeled,Not labeled,Not related
404,217018900959858688,Ouvir a torcida do meu #Inter cantando na Ilha do Retiro me faz lembrar o grande torcedor do #COLORADO Neco tio do @ToniMissel q mora em PE.,Not labeled,Not labeled,Not applicable
406,217026282934898689,so just curious what long-time colorado springs residents (or even colorado) think... especially with how close it is to garden of the gods.,Not labeled,Not labeled,Not related
411,217059048850325504,"Lady, in her favorite perch above the backyard! ... #MyDog #CockerSpaniel #Colorado  http://t.co/I09YZYHB",Not labeled,Not labeled,Not related
412,217064279113863168,How about instead of dedicating bowls to eachother on this raggedy mofucka.. We blaze in RL #Colorado #Followers  The offer hath been stated,Not labeled,Not labeled,Not related
415,217080624316555264,The Fact I get to leave all these people behind for a week&gt;&gt;&gt;&gt;&gt;&gt; #iNeedthis #loveit #Colorado,Not labeled,Not labeled,Not related
418,217094410997989376,One more day until Colorado Springs!!,Not labeled,Not labeled,Not related
424,217251466744823808,@BarneyBrazil Hi! :) x.  Call the next CHAMPION #Wildfire for me yeah? x,Not labeled,Not labeled,Not related
429,217286623400951809,Check out Sal Pace's news that I found with the Election Buddy Pro iPhone app! #Colorado  http://t.co/D6IHsb07,Not labeled,Not labeled,Not related
431,217295641154568193,Snake on #Bishops #Castle in #Colorado RedGage - http://t.co/yS9eLNRn,Not labeled,Not labeled,Not related
433,217324095279337475,RT @krumblebee: Successful hiking! 👣💪😄 #redrockpark #colorado @Theis2MeetYou @moldoll32 @kristareese13 @courttkroo @BKbabyy,Not labeled,Not labeled,Not related
434,217325206786682882,"Firewall Technician- Colorado Springs, CO http://t.co/Z5pAHZLy",Not labeled,Not labeled,Not related
439,217406194590035968,I couldn't remember what happened to R.J. on #Wildfire &amp; then I suddenly recalled it. Forever sad. R.J. made Dani much more likeable to me.,Not labeled,Not labeled,Not related
441,217413425586896896,Feel stylish. Be sparkling. Learn to be safe. Colorado Springs Colorado. wom Mobile Deals is a fun life. Training. http://t.co/MJ5HZM2G,Not labeled,Not labeled,Not related
444,217440327848566784,RT @brittanyfelts63: #RememberTheTime I tackled @charlieshaf while skiing. #colorado #hahaha #oops,Not labeled,Not labeled,Not related
452,217622276772872193,RT @themusicninja: Holy shit! So excited for @avicii at Red Rocks tonight. #Colorado,Not labeled,Not labeled,Not related
453,217634943549980672,#colorado sounds like a desert I'm going to live n,Not labeled,Not labeled,Not related
455,217636289908965377,"The first fire chief in Colorado Springs was Benjamin F. Crowell - appointed in February, 1879. #COS",Not labeled,Not labeled,Not related
457,217647002190741504,"I'm at Downtown COS (Colorado Springs, CO) http://t.co/pPU3q70S",Not labeled,Not labeled,Not related
460,217667898188115968,#HonestyHour We are telling you the truth when we say you'll have #Fun playing one of our sports.  #Local #Colorado #SmallBusiness #Coed,Not labeled,Not labeled,Not related
465,217693420536336385,RT @sam_hoover: Hey Colorado Springs radio stations - Let's go ahead and remove Adele's Set Fire to the Rain from our rotation #JustSa ...,Not labeled,Not labeled,Not related
475,217740363178315776,Yet another fire. This one from the patio of our office in Boulder.  http://t.co/VU47peNC,Not labeled,Not labeled,Not related
503,217770822226546689,RT @compston: #FlagstaffFire from the 16th Street parking garage. http://t.co/XiulQ4Sj,Not labeled,Not labeled,Not related
508,217776711037751296,RT @DougInBoulder: Great photo! .@codycrouch: Good retardant line on the #FlagstaffFire http://t.co/xgjBHz7b #boulderfire #COfire,Not labeled,Not labeled,Not related
510,217779961627541504,Hottest day ever in Colorado springs #101 #itsonlyjune,Not labeled,Not labeled,Not related
522,217796269060534272,RT @nate_bukaty: Wow “@Ianfitzespn: “@PatrickSandusky: This is colorado springs right now. Look at this photo and be shocked.  http://t. ...,Not labeled,Not labeled,Not related
532,217802824749301760,RT @JoshLindenstein: View of #Boulder #FlagstaffFire from #CoorsField upper deck. @Rockies http://t.co/HtMwpJCJ,Not labeled,Not labeled,Not related
547,217810575823093760,#FlagstaffFire Night Sunset 2. #Boulder #Colorado http://t.co/Xl2bk5fL,Not labeled,Not labeled,Not related
550,217812417130921984,@kaypepps @kevinskrepnek Check it out: RT @jawnbeary: View near parents' house in Colorado Springs: http://t.co/2Iq9gelT #COfire,Not labeled,Not labeled,Not related
555,217818746327277570,"RT @downtownboulder: Some help due 2 #FlagStaffFire: E.Boulder Rec cent., emergency op cent.: 303-413-7730, pet hosp.: 303-499-5335, @Hu ...",Not labeled,Not labeled,Not related
618,217852153979609088,"Photo: http://t.co/HjQ3PxxB #flagstafffire at 8:51, slurry drop shot #2",Not labeled,Not labeled,Not related
665,217969716101263361,RT @CTmagazine Colorado wildfires threaten Navigators' camps. Let us know if you see more impact on ministries/churches http://t.co/N3JhCjWc,Not labeled,Not labeled,Not related
684,217987097326391298,About to be live on http://t.co/IDYAAYCm to brag about the awesome people here in Colorado Springs.,Not labeled,Not labeled,Not related
692,217991874626064384,Money quote : Colorado was fine...and then the fire nation attacked.,Not labeled,Not labeled,Not related
694,217994865185792000,The Colorado Springs Influencers Daily is out! http://t.co/5kgzIllX ▸ Top stories today via @FocusPRTeam @COCharterXaminr @generousmind,Not labeled,Not labeled,Not related
696,217996379325341698,"hopefully the verizon store in colorado springs can fix my phone, so i can use it one last day haha",Not labeled,Not labeled,Not related
708,218010392465649665,.@thedirtydash is now Sept 1 in Colorado Springs - want an entry? Giveaway ends Fri. http://t.co/IBFoLP5g #FitFluential #FHBC12 #spon,Not labeled,Not labeled,Not related
726,218031351427895296,RT @rqskye: #Offer El Paso County Bar offering legal help #Time Sat July 14th 10am-Noon #Loc Citadel Mall #Src @Oh_Fender #WaldoFire,Not labeled,Not labeled,Not related
735,218046866158391297,rainshowers and lightning around Gunnison right now.  Reports from viewers of light rain in Castle Rock and near Colorado Springs.,Not labeled,Not labeled,Not related
737,218049726644355072,#WhatMostWomenWant is Colorado to get as wet as ladies watching #MagicMike @channingtatum ! #WaldoCanyonFire #PrayForColorado #HighParkFire,Not labeled,Not labeled,Not related
743,218055498027642881,RT @jeffreymadwisc: Colorado springs http://t.co/L3ZoeyU3,Not labeled,Not labeled,Not related
748,218059038007623680,Colorado Springs http://t.co/XHcdHZnl,Not labeled,Not labeled,Not related
755,218065274962841600,"CO Jobs | BioSurgery TBM Colorado Springs at Baxter International (Denver, CO) http://t.co/uPZXgeHA #Job #Hiring #COJobs",Not labeled,Not labeled,Not related
763,218071356670099456,CLICK HERE&gt;&gt; http://t.co/vMHt3CRT Help The People &amp; Animals of Colorado @GeekNation. #Colorado,Not labeled,Not labeled,Not related
787,218102289687261184,"Colorado Springs, 2e plus grande ville du Colorado est menacée par les feux.  650 000 personnes en état d'alerte.  http://t.co/DxdEjTHs",Not labeled,Not labeled,Not applicable
803,218121331827421184,Some good news....just checked craigslist....nobody in Colorado Springs selling fireworks..at least not that I can find.,Not labeled,Not labeled,Not related
816,218142991200698370,RT @RMhigh7088: A #hiking and #climbing post from #Colorado: Kelso Ridge on Torreys Peak is my fave so far! Photos/route info here: http ...,Not labeled,Not labeled,Not related
849,218199391998181376,"RT @tannerdsilva: Colorado Springs, my hometown: http://t.co/NLPun3v0",Not labeled,Not labeled,Not related
858,218249371333046272,Had a grt day I won an admin contest on fb my poor kitten is feeling a lil bit better And it rained Colorado needs tht With all the fires:/,Not labeled,Not labeled,Not related
874,218338668077780993,"RT @CitizenRadio: THE BIG ANNOUNCEMENT, #Colorado is on fire, Louis C.K. scares the crap out of suits everywhere http://t.co/7cfIxKJ6 #C ...",Not labeled,Not labeled,Not related
876,218346582742024193,RT @brentonillum: Heading to Colorado Springs for a few days. I hope it's not as bad as it looks!,Not labeled,Not labeled,Not related
886,218359509578559488,"Compliance Manager Full Time with Great Salary and Benefits (Colorado Springs, CO) http://t.co/ypNx0tVE #job",Not labeled,Not labeled,Not related
888,218360474243305472,"Östgöte som befinner sig nära eldhärjningarna i Colorado sökes för intervju i Folkbladet, Norrköping. RT uppskattas. #colorado",Not labeled,Not labeled,Not applicable
905,218398810215419904,Greeley #Colorado #Tonight In-store @ Blacklist Skateshop #MusicIsMyWeapon T's 6pm &amp; show @ Sky Night Club 9pm,Not labeled,Not labeled,Not related
906,218406703857811457,Top hotel deals online for hotels in Las Vegas Palms Springs Anaheim CA Sedona AZ Steamboat Springs Colorado CO http://t.co/3oi4KPAn,Not labeled,Not labeled,Not related
945,218508973589008386,#team #Colorado #dinner CINZZETTIS❤ http://t.co/3ZvXe8Fm,Not labeled,Not labeled,Not related
949,218524358291881984,RT @CopelandSP: Next major deal in #socialmedia will be #Facebook acquisition of #Wildfire Helps stabilise their shareprice but stokes M ...,Not labeled,Not labeled,Not related
961,218608097592213506,"New Job Vacancy: Customer Care Specialist - Corporate Field Resolutions at DISH Network in Colorado, US http://t.co/NVyOpUfU #Colorado #job",Not labeled,Not labeled,Not related
964,218634593006403584,Basketballers VS moeten Wade missen op Spelen: COLORADO SPRINGS - De Amerikaanse basketbalster Dwyane Wade moet ... http://t.co/pwVUj8Q2,Not labeled,Not labeled,Not related
966,218658777333903360,[VIDEO] Beelden van het ontstaan van de Waldo Canyon Fire in Colorado USA http://t.co/GIjgX39b #actueel #nieuws,Not labeled,Not labeled,Not applicable
968,218672375288438784,Incêndio segue no Colorado; Obama vai declarar área de desastre: O incêndio em Colorado Springs... http://t.co/FPXohHTX Via @egomezislas,Not labeled,Not labeled,Not applicable
978,218706659546107906,RT @mashable: Colorado Wildfires Seen From Space [VIDEO] http://t.co/tXxvmdMP via @spacedotcom,Not labeled,Not labeled,Not related
987,218736820752629760,How to Track Colorado's Waldo Canyon 'Super Fire' (and Others) | http://t.co/u0WCva6e via @Techland #technology #maps #gis #esri #google #li,Not labeled,Not labeled,Not related
993,218755204420608001,Fire season has officially started - is your landscape #wildfire safe? http://t.co/NmBHf1Gn,Not labeled,Not labeled,Not related
