,Unnamed: 0,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
16,16,212937008484589570,"#HighParkFire live briefing: Bill Hahnenberg, cmdr: Not the kind of fire where we fight for a couple days and head home. Here a long time.",Government,['Official'],Related - but not informative
17,17,213070509003374592,"RT @RMACCFireinfo: Tanker update: 6 pm, 37 drops, 58,557 gals retardant on #HighParkFire from #JeffcoAirTankerBase.... http://t.co/GQoDKs6A",Government,['Official'],Related and informative
18,18,213303712284811264,"RT @coloradoan: #HighParkFire live briefing: Commander, This fire could cross the river. If it does, we're going to have a hard time wi ...",Government,['Official'],Related and informative
19,19,213336062980915200,"RT @LarimerCounty #HighParkFire website containing fire info, maps, Disaster Recovery Center details http://t.co/DrqfMMvO #cofire #smem",Government,['Official'],Related and informative
20,20,213348184506908673,RT @LarimerSheriff: #HighParkFire Another evacuation area notice has been lifted. Please check out link http://t.co/KXPBivpb,Government,['Official'],Related and informative
21,21,213689735082807296,"#HighParkFire info on #LarimerCounty webpage. A lot of advice about prepping for a fire, safety lists, evacuation checklists, structure maps",Government,['Official'],Related - but not informative
22,22,213702829674741761,RT @COEmergency: #HighParkFire Disaster Recovery Center opened this morning at CSU Johnson Hall to bring together resources. http://t.co ...,Government,['Official'],Related and informative
23,23,213748442739118080,RT @COEmergency: Want to donate to #HighParkFire families? Go to http://t.co/lo57JOy8,Government,['Official'],Related - but not informative
24,24,214425449537867776,"#HighParkFire UPDATE: Re-Evacuations being announced for Hwy 14, east of Seaman Reservoir.",Government,['Official'],Related and informative
25,25,214490071183802368,High Park Fire: Kansas &amp;amp; Nebraska National Guards Support Colorado http://t.co/QRuKUrFj via @youtube [Like it? http://t.co/wHLz1XYp ],Government,['Official'],Related and informative
26,26,215079349928476673,RT @LarimerSheriff: #HighParkFire Final Evening Update for 6-18-12.  Made some progress on containment! Check out the link. http://t.co/ ...,Government,['Official'],Related and informative
27,27,215138435093110784,RT @COEmergency: Items needed for #HighParkFire Donation Center.  http://t.co/FlNhdClR,Government,['Official'],Related and informative
28,28,215465313989427200,"RT @LarimerSheriff: #HighParkFire New acreage for High Park Fire is 65,738 with 55% containment.  Here is link for updated map http://t. ...",Government,['Official'],Related and informative
29,29,215564110799183872,Re symbols on today's map: MT @LarimerSheriff: Only relevant to firefightng effort. Will b removd 4 tomorrow to reduce confusn #HighParkFire,Government,['Official'],Related - but not informative
30,30,215821620097462272,USFS forest ecologist: Not just forests out of whack. It's whole life zones out of whack. #highparkfire #haymanfire,Government,['Official'],Related and informative
31,31,215855174546231296,Just when we thought it was safe to go outside. #CO #Wx  &gt;&gt; Fri=97 degrees Sat=100 degrees. You know what that means. #HighParkFire,Government,['Official'],Related and informative
32,32,216305818927251456,RT @tri1025: RT @LarimerSheriff: #HighParkFire Residents of Red Feather Lakes and Crystal Lakes need to use Cherokee Park Road (CR 80C)...,Government,['Official'],Related and informative
33,33,216349737488621568,RT @jawtry: #HighParkFire: A view from @CDOT's Virginia Dale traffic camera near the CO/WY border:  http://t.co/cC0T3bjW,Government,['Official'],Related and informative
34,34,216359954846728194,"#HighParkFire live briefing: Bill Hahnenberg, cmdr: The prognosis for the next day — a little better, but extreme weather conditions.",Government,['Official'],Related and informative
35,35,216664859759214592,RT @VisitCOS: Follow #waldofire for information and updated evacuations,Government,['Official'],Related and informative
36,36,216774209446215680,"RT @Bewickwren: #WaldoCanyonFire 11:21 p.m. Evacuations in Manitou Springs as fire makes late-night run, dispatchers say. #COFire  http: ...",Government,['Official'],Related and informative
37,37,216920003461648385,Hanhnenberg: Currently we have the resources we need and will continue to but there will be competition for resources. #HighParkFire,Government,['Official'],Related and informative
38,38,216935509811929088,RT @EPCSheriff: HASHTAG CHANGE - from @COEmergency - #WaldoCanyonFire is now #WaldoFire,Government,['Official'],Related and informative
39,39,216984293770141696,Colorado Springs POLICE are closing PALMER PARK as a PRECAUTION ONLY!!!!! #WaldoCanyonFire,Government,['Official'],Related and informative
40,40,217681479365439488,RT @HumanityRoad: #Colorado Residents sign up county alerts at http://t.co/kMsMx3qu #Redflag warnings #http://www.crh.noaa.gov/gjt/ #hmrd,Government,['Official'],Related and informative
41,41,217730775020343297,#Gov20 News - Forest Service calls in Air Force tankers to battle Colorado fires http://t.co/QTY8ziQn,Government,['Official'],Related and informative
42,42,217784130740568066,"RT @jamesburgepr: RT @PPRedCross: NEW #REDCROSS #SHELTER:   #loc YMCA Southeast Family Center 2190 Jetwing Dr. Colorado Springs, CO 80916...",Government,['Official'],Related - but not informative
43,43,217804296966778882,RT @boulderparksrec: Open water swim at the reservoir cancelled tomorrow (6/27) due to smoke in the area. #FlagstaffFire,Government,['Official'],Related and informative
44,44,217830150669209602,"RT @kevinltorres: 20,085 homes in Colorado Springs are threatened by the wildfire, according to CSFD.",Government,['Official'],Related and informative
45,45,217830637195894785,RT @boulderpolice: 11 agencies helping fight #FlagstaffFire. Thank you!,Government,['Official'],Related - but not informative
46,46,217833833238773760,RT @ehtflags: Heat hampers efforts to fight Colorado fires: Air Force Academy officials were evacuating roughly one-third of h... http:/ ...,Government,['Official'],Related and informative
47,47,217847003386871809,RT @bouldercolorado: Please RT - evacuees from the #FlagstaffFire can call the Emergency Operations Center at 303-413-7730 for fire &amp ...,Government,['Official'],Related and informative
48,48,217852644696403969,"RT @SnorkyJr: Colorado Springs and El Paso County, Colorado Fire and EMS Live Audio Feed  #WaldoCanyonFire http://t.co/1R6SLAi1",Government,['Official'],Related and informative
49,49,218021100557307904,"RT @bouldercounty: As a reminder, the call center for residents and others impacted by the #FlagstaffFire to obtain information is 303-4 ...",Government,['Official'],Related and informative
50,50,218031976375001090,RT @bouldercounty: Material donations are NOT needed for the #FlagstaffFire at this time. Financial support is the best way to help. Inf ...,Government,['Official'],Related and informative
51,51,218048032166526976,RT @boulderpolice: #FlagstaffFire fire is not threatening homes at this time. Sprinklers will help create defensible space. Thank you.,Government,['Official'],Related and informative
52,52,218097365565980672,"RT @dailycamera: #FlagstaffFire: #Boulder police asks residents w/ property backing up to open space turn on sprinklers, leave them on , ...",Government,['Official'],Related and informative
53,53,218110195933519872,US: All three network evening newscasts leading tonight with the rampage of that #wildfire in #Colorado,Government,['Official'],Related and informative
54,54,218155913851314177,RT @fema: (June 27) Please share: how to help those affected by the #WaldoCanyonFire #FlagstaffFire #HighParkFire http://t.co/tmtZDniU,Government,['Official'],Related and informative
55,55,218159479034884096,RT @AFSpace: AFSPC Vandenberg Hot Shots are on the ground in Colorado Springs helping fight the #WaldoCanyonFire as we speak: http://t.c ...,Government,['Official'],Related and informative
56,56,218333999830020096,To all the Emergency crews in Colorado Springs. Be Brave and Godspeed! It is hell there right now. #firebrea http://t.co/NIZgjHmQ,Government,['Official'],Related - but not informative
57,57,218334503146496000,"RT @EPAgov: Smoke from #wildfire can harm #airquality, worsen breathing problems, even miles away. Check your air quality: http://t.co/T ...",Government,['Official'],Related and informative
58,58,218345915830910980,#WaldoCanyonFire: No new evacuations for Colorado Springs &amp; no changes to previous mandatory evacuations. Streaming: http://t.co/V1p90HKu,Government,['Official'],Related and informative
59,59,218391134605545472,"Pic: #CoFire: Helicopter drops water on #WaldoCanyonFire #Wildfire USAF Academy Colorado Springs, Colo. http://t.co/P35Qb1C5",Government,['Official'],Related and informative
60,60,218460843942215680,Parker Fireworks cancelled due to high fire danger http://t.co/aAYrKiVE #Parker #CO #Colorado #Parker,Government,['Official'],Related - but not informative
61,61,218464224551251968,Colorado wildfire destroys hundreds of homes: Colorado Springs officials said Thursday that hundreds of homes ha... http://t.co/tlNvXX9M,Government,['Official'],Related and informative
62,62,218484596298350592,Mayor: Colorado Springs Fire Destroys 346 Homes: Mayor: Colorado Springs fire destroys 346 homes,Government,['Official'],Related and informative
63,63,218523523629584385,Mayor: #Colorado fire destroys estimated 346 homes; most destructive in state history http://t.co/sCMthmA2 #wildfire,Government,['Official'],Related and informative
64,64,218706546270543872,"RT @SpeakerBoehner: Thoughts &amp; prayers are with the victims of the Colorado wildfires, &amp; with the brave fire crews working day & ...",Government,['Official'],Related - but not informative
65,65,218712531554930688,"RT @SpeakerBoehner: Thoughts &amp; prayers are with the victims of the Colorado wildfires, &amp; with the brave fire crews working day & ...",Government,['Official'],Related - but not informative
66,66,218734241255665664,Current Colorado Fires Map from Colorado Division of Emergency http://t.co/UNCVe9iJ #COLORADOFIRE #COLORADOFIRES,Government,['Official'],Related and informative
67,67,218755124695277568,Colorado Wildfires - Disaster Declaration By US: http://t.co/7tNVZZBc,Government,['Official'],Related and informative
68,68,218801832464613376,RT @BoulderOEM: Updated with correct link: The heavy smoke visible in the Boulder Valley and foothills is NOT from local fires. http://t ...,Government,['Official'],Related and informative
69,69,218936155071184896,"Police chief: One dead, one missing in Colorado fire - Washington Post http://t.co/AC1LSt1c #PoliceNews",Government,['Official'],Related and informative
70,70,219627929997557760,"RT @COEmergency: MT@COHealth:Still 3 Wildfire Smoke Health Advisories for Little Sand, Pine Ridge and Waldo Canyon #COfire . https://t.c ...",Government,['Official'],Related and informative
71,71,219665561309822977,@NoradNorthcom &amp; @PeteAFB report that a C-130 helping with the Colorado wildfire effort crashed in South Dakota at about 6 pm MDT,Government,['Official'],Related and informative
72,72,219838517637939201,"RT @USNationalGuard: Air #NationalGuard firefighting C-130s shifted from Colorado to Wyoming, battle wildfires in South Dakota, Wyoming: ...",Government,['Official'],Related and informative
73,73,221033407730298883,$50K Reward Offered For Info On Waldo Canyon Fire Vandals http://t.co/I1dkaGsA #WaldoCanyonFire #Colorado,Government,['Official'],Related and informative
74,74,243362393252560896,"Terremoto  7.9º En Costa Rica  Autoridades Locales entregan detalles de 6.7º, No se reportan mayores informaciones.",Government,['Official'],Related and informative
75,75,243369137693405184,RT @Armada_Chile: Informamos que hubo un terremoto 7.9 richter en Costa Rica y se establece Alerta de tsunami para las costas de Chile.  ...,Government,['Official'],Related and informative
76,76,243377979273666560,"RT @TravelGov: #EmergencyMessage via @USGS: #tsunami warning for #ElSalvador, #Panama, #Nicaragua, #Mexico, #CostaRica, &amp; others. ht ...",Government,['Official'],Related and informative
77,77,243384652411322368,"RT @Teccr: Se suspenden por hoy lecciones y funciones en el #TEC, según Rectoría. #temblorcr",Government,['Official'],Related and informative
78,78,243391342347169793,@nacion: Presidenta Chinchilla reafirma en vivo que se descarta que zona costera pueda ser afectada por un tsunami. #temblorcr,Government,['Official'],Related and informative
79,79,243410984256016385,"#COSTARICA: Luis Barrantes, alcalde de Valverde Vega, dice que hay al menos 20 casas muy afectadas y varias quedaron inhabitables. #fb",Government,['Official'],Related and informative
80,80,243451635454578688,La Comisión de Emergencias pone a disposición de la población el número 2210-2825 para consultas concretas por el #temblorcr,Government,['Official'],Related and informative
81,81,243507436479201281,Guatemala se solidariza con Costa Rica por terremoto: El Gobierno de Guatemala se solidarizó hoy con Costa Rica ... http://t.co/5eH7SvnD,Government,['Official'],Related and informative
82,82,243849196757725185,Guatemala lamenta terremoto ocurrido en Costa Rica: La Comisión Nacional de Emergencia (CNE) costarricense aún m... http://t.co/QU8rLcLt,Government,['Official'],Related and informative
83,83,274843333308850177,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 01/DEC/12 06:30PM http://t.co/TEjX5fxY,Government,['Official'],Related and informative
84,84,274863314985680896,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 01/DEC/12 07:30PM http://t.co/SITTaEUO,Government,['Official'],Related and informative
85,85,275065346233335808,"RT @govph: For the latest updates on #pabloPH, please visit http://t.co/5H8gdz6P",Government,['Official'],Related and informative
86,86,275110934119321600,"RT @govph: Summary: Press briefing by @NDRRMC_Opcen on #PabloPH, December 2, 2012, 11:00 a.m. http://t.co/QjYW6IIm",Government,['Official'],Related and informative
87,87,275138029298012161,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 02/DEC/12 02:30PM http://t.co/0DTU8Aiu,Government,['Official'],Related and informative
88,88,275192215519780865,"NDRRMC: Incoming Typhoon Pablo may bring Sendong-like rains, winds: The powerful typhoon approaching the Philipp... http://t.co/cs9D9hTO",Government,['Official'],Related and informative
89,89,275209072410759168,RT @dost_pagasa: Typhoon BOPHA Satellite image as of 02/DEC/12 06:30PM http://t.co/SAWUtWnO,Government,['Official'],Related and informative
90,90,275216999653707776,"RT @dost_pagasa: At 8PM 02/DEC/2012: The eye of Typhoon PABLO was located at 870 km Southeast of Hinatuan, Surigao Del Sur (06.4 °N 13 ...",Government,['Official'],Related and informative
91,91,275226290045460482,RT @dost_pagasa: Typhoon PABLO Satellite image as of 02/DEC/12 08:30PM http://t.co/O7dwgVY1,Government,['Official'],Related and informative
92,92,275229192499634176,RT @dost_pagasa: Typhoon PABLO Satellite image as of 02/DEC/12 08:30PM http://t.co/O7dwgVY1,Government,['Official'],Related and informative
93,93,275243813868560384,"RT @dost_pagasa: At 10:00PM 02/DEC/2012, the eye of Typhoon PABLO was located at 810 km Southeast of Hinatuan, Surigao Del Sur (cont)  ...",Government,['Official'],Related and informative
94,94,275254710653550592,"Pag-asa: At 10:00PM 02/DEC/2012, the eye of Typhoon #PabloPH was located at 810 km Southeast of Hinatuan, Surigao... http://t.co/FHQIVZCH",Government,['Official'],Related and informative
95,95,275263749382881280,Follow PAGASA's tweets for more updates on typhoon pablo. http://t.co/mmmAmD5a,Government,['Official'],Related and informative
96,96,275263921349353477,"RT @dost_pagasa: At 11:00PM 02/DEC/2012, the eye of Typhoon PABLO was located @ 800 km Southeast of Hinatuan, Surigao Del Sur (cont) h ...",Government,['Official'],Related and informative
97,97,275266509226536960,"RT @dost_pagasa: WEATHER BULLETIN #2 TROPICAL CYCLONE WARNING: TYPHOON “#Pabloph” (BOPHA) ISSUED AT 11:00 PM, 02 DECEMBER (cont) http:// ...",Government,['Official'],Related and informative
98,98,275268312794025984,RT @DepEd_PH: FYI: Twitter hashtags to monitor: TS Pablo gen. updates: #PabloPH. Class suspensions: #walangpasok. Relief and rescue: #re ...,Government,['Official'],Related and informative
99,99,275276646846713857,RT @dost_pagasa: UPDATE ON  TYPHOON “PABLO”  (International Name: Typhoon Bopha)  Typhoon Bopha has entered the Philippine (cont) http:/ ...,Government,['Official'],Related and informative
100,100,275289305285554177,“@govph: There is a big possibility that Metro Manila won't be hit or affected by #PabloPH | via @dost_pagasa”salamat naman!,Government,['Official'],Related and informative
101,101,275350823117156352,RT @dost_pagasa: Typhoon #PabloPh has slightly weakened as it moves West Northwestward,Government,['Official'],Related and informative
102,102,275447799611539457,PAG-ASA: Typhoon PABLO has maintained its strength and is now heading towards Surigao Provinces.,Government,['Official'],Related and informative
103,103,275499767046471680,"RT @DepEd_PH: Xavier University/Ateneo de Cagayan #walangpasok Tues., Dec. 4 declared by Father Bobby Yap. #PabloPH #CDO | via @eiracabe ...",Government,['Official'],Related and informative
104,104,275501893575376896,RT @pcdspo: THIS JUST IN: Cagayan de Oro suspends classes in all levels. Preemptive evacuation starts 2pm. #PabloPH #walangpasok | via   ...,Government,['Official'],Related and informative
105,105,275516699464327168,"RT @dost_pagasa: At 04:00PM 03/DEC/2012, the eye of Typhoon #PabloPH was located @390km Southeast of Hinatuan, Surigao Del Sur... http:/ ...",Government,['Official'],Related and informative
106,106,275523628450344960,"DSWD Field Offices nakaantabay sa dadaanan ng bagyong #PabloPH, standby funds at relief supplies handa na. | via @DSWDserve #reliefPH",Government,['Official'],Related and informative
107,107,275524433752518656,"RT @dost_pagasa: WEATHER BULLETIN #5 TROPICAL CYCLONE WARNING: TYPHOON “#pabloPH” (BOPHA) ISSUED AT 05:00 PM, 03 DECEMBER 2012... http:/ ...",Government,['Official'],Related and informative
108,108,275524807070736384,"RT @dost_pagasa: WEATHER BULLETIN #5 TROPICAL CYCLONE WARNING: TYPHOON “#pabloPH” (BOPHA) ISSUED AT 05:00 PM, 03 DECEMBER 2012... http:/ ...",Government,['Official'],Related and informative
109,109,275524865753247744,"RT @pcdspo: DSWD Field Offices nakaantabay sa dadaanan ng bagyong #PabloPH, standby funds at relief supplies handa na. | via @DSWDserve  ...",Government,['Official'],Related and informative
110,110,275532163867365377,"RT @dost_pagasa: At 05:00PM 03/DEC/2012, the eye of Typhoon #PabloPH was located @360km Southeast of Hinatuan, Surigao Del Sur... http:/ ...",Government,['Official'],Related and informative
111,111,275533992558723072,Mayor Rama declared no class tomorrow because of Typhoon Bopha (Pablo) #fb,Government,['Official'],Related and informative
112,112,275541944975896576,"RT @dost_pagasa: At 05:00PM 03/DEC/2012, the eye of Typhoon #PabloPH was located @360km Southeast of Hinatuan, Surigao Del Sur... http:/ ...",Government,['Official'],Related and informative
113,113,275546554499223554,"RT @dost_pagasa: At 06:00PM 03/DEC/2012, the eye of Typhoon #PabloPH was located @340km Southeast of Hinatuan, Surigao Del Sur... http:/ ...",Government,['Official'],Related and informative
114,114,275552262946975744,RT @DepEd_PH: Classes in all levels in Cebu City will be suspended tom #PabloPH #walangpasok | via @tweenyisone @cebudailynews,Government,['Official'],Related and informative
115,115,275584353604616192,"RT @dost_pagasa: At 08:00PM 03/DEC/2012, the eye of Typhoon #PabloPH was located @270km Southeast of Hinatuan, Surigao Del Sur... http:/ ...",Government,['Official'],Related and informative
116,116,275598408683749376,RT @XUCSG: CITY HALL AND NTC HOTLINE (CDRRMC-City Hall Command Center) has activated Dial 888 hotline.#PabloPH,Government,['Official'],Related and informative
117,117,275617308251156480,RT @dost_pagasa: Press Conference at 11 PM Weather Update TY #PabloPH,Government,['Official'],Related and informative
118,118,275629761135525890,"11:55pm/Dec 3 | TYPHOON PABLO | Bagong Public Storm Warning Signals sa buong bansa, ayon sa PAGASA kaninang 11:00pm. http://t.co/S5XEJ8g3",Government,['Official'],Related and informative
119,119,275716881023918081,PAGASA raises Signal Number 2 over Biliran Island.#PabloPh,Government,['Official'],Related and informative
120,120,275720467158024193,"@DavaoCityGov: #davaocity is under storm signal #2. CLASSES from kinder to high school are SUSPENDED today, Dec. 4. #walangpasok#fb",Government,['Official'],Related and informative
121,121,275729430360489984,"RT @dost_pagasa: TYPHOON PABLO has made landfall over Baganga, Davao Oriental at 04:45am December 04, 2012. http://t.co/82tkBz2N",Government,['Official'],Related and informative
122,122,275739182125690880,"RT @dost_pagasa: At 7:00AM 4/DEC/2012, the eye of Typhoon #PabloPH was located over Laak Compostela Valley (7.9°N 125.9°E) with... http: ...",Government,['Official'],Related and informative
123,123,275754952708722688,"RT @dost_pagasa: At 8:00AM 4/DEC/2012, the eye of Typhoon #PabloPH was located over Laak Compostela Valley or @ 80km SouthEast of... htt ...",Government,['Official'],Related and informative
124,124,275756085158223872,"RT @dost_pagasa: At 8:00AM 4/DEC/2012, the eye of Typhoon #PabloPH was located over Laak Compostela Valley or @ 80km SouthEast of... htt ...",Government,['Official'],Related and informative
125,125,275833721750425600,"RT @dost_pagasa: At 01:00PM 4/DEC/2012, the eye of Typhoon #PABLO was located @ 40km West of Cagayan De Oro City (8.6°N 124.4°E).",Government,['Official'],Related and informative
126,126,275836406092414976,RT @leolasty: Pagasa Mactan Director Oscar Tabada says Cebu is experiencing 65 kph winds and moderate rains. #PabloPH,Government,['Official'],Related and informative
127,127,275857511813349377,"PAGASA: At 2PM, eye of Typhoon #PabloPH was located at 70km South of Tagbilaran City or at 95km Southeast of Dumaguete City (8.8°N 124.0°E).",Government,['Official'],Related and informative
128,128,275860741461000192,RT @PIACentralViz: DUMAGUETE: Dumaguete CDRRMC activated the following hotlines: 4222511 and 2263483 #PabloPH,Government,['Official'],Related and informative
129,129,275877501895573504,RT @dost_pagasa: 04:0pm: #PabloPH heavy rains is expected to prevail for the next 3hrs overTacloban City &amp; adjacent towns #Leyte...  ...,Government,['Official'],Related and informative
130,130,275888641971216384,"#PabloPH MT @gwengarcia1ph: Province-wide #walangpasok ALL levels for tomorrow, Dec. 5.",Government,['Official'],Related and informative
131,131,275892546843078656,RT @govph: Latest situation report on the effects of typhoon Pablo (NDRRMC) http://t.co/KggEiC8J,Government,['Official'],Related and informative
132,132,275916722807111680,"RT @dost_pagasa: At 06:00PM 4/DEC/2012, the eye of Typhoon #PabloPH was located @30km Southwest of Dumaguete City (9.2°N 123.0°E). http: ...",Government,['Official'],Related and informative
133,133,275925375660462081,"RT @dost_pagasa: At 07:00PM 4/DEC/2012, the eye of Typhoon #PabloPH was located @40km West of Dumaguete City (9.3°N 122.9°E).",Government,['Official'],Related and informative
134,134,275932946383388673,"RT @dost_pagasa: At 06:00PM 4/DEC/2012, the eye of Typhoon #PabloPH was located @30km Southwest of Dumaguete City (9.2°N 123.0°E). http: ...",Government,['Official'],Related and informative
135,135,275951929815879680,"Signal # 1 Biliran, Surigao del Norte, Surigao del Sur, Siargao, Dinagat #PabloPH",Government,['Official'],Related and informative
136,136,275991050089283585,RT @NASA: [Image of the Day] Super Typhoon Bopha http://t.co/MBPCp3FM #iotd,Government,['Official'],Related and informative
137,137,276024076043173890,"RT @dost_pagasa: SEVERE WEATHER BULLETIN #10 TROPICAL CYCLONE WARNING: TYPHOON PabloPH” (BOPHA)  ISSUED AT 11:00 PM, 04... http://t.co/ ...",Government,['Official'],Related and informative
138,138,276044883968536579,RT @NASA: [Image of the Day] Super Typhoon Bopha http://t.co/MBPCp3FM #iotd,Government,['Official'],Related and informative
139,139,276119370634231809,Defense Sec. Voltaire Gazmin meets his men at NDRRMC #PabloPH #DZBB http://t.co/RP1Y5ILA | via @glenjuego,Government,['Official'],Related and informative
140,140,276127050396471298,RT @OfficialSenPia: RT @nababaha: #Pablo now crossing Palawan. http://t.co/7dvEWqxO #PabloPH,Government,['Official'],Related and informative
141,141,276134344286937089,"RT @dost_pagasa: At 09:00AM 5/DEC/2012, the eye of Typhoon #PabloPH was located @115km Northeast of Puerto ... http://t.co/osjXAWOL",Government,['Official'],Related and informative
142,142,276146528723296257,Accept the consequences in every wrong decisions we made. #TyphoonPablo #VoteAgainstIsrael @NoyNoy Aquino,Government,['Official'],Related - but not informative
143,143,276205307703726080,"RT @dost_pagasa: At 1:00PM 5/DEC/2012, the center of Typhoon #PabloPH was located @80km Northwest of Roxas, Northern Palawan.  ( 11.0°N, ...",Government,['Official'],Related and informative
144,144,276210445726121984,"RT @dost_pagasa: at 2:00PM 5/12/2012, d center of Typhoon #PabloPH was located @90km Northwest of Roxas, Northern Palawan. (11.1°N, 118. ...",Government,['Official'],Related and informative
145,145,276218737877737473,"NDRRMC: 95 dead, 61 injured due to Typhoon Pablo. http://t.co/Wc90yG4v",Government,['Official'],Related and informative
146,146,276250706875396099,RT @ANCALERTS: PAGASA: Typhoon Pablo maintains strength as it moves west northwest at 15kph #PabloPH,Government,['Official'],Related and informative
147,147,276254741787443200,"PAGASA: Typhoon Pablo last spotted at 110km northwest of Roxas, Northern Palawan... http://t.co/KsrLIkWk",Government,['Official'],Related and informative
148,148,276259439378563072,"RT @dost_pagasa: At 05:00PM 5/DEC/2012, the eye of Typhoon #PabloPH was located at 120km Northwest of Roxas, Northern Palawan... http:// ...",Government,['Official'],Related and informative
149,149,276298479972786176,"RT @dost_pagasa: At 07:00PM 5/DEC/2012, the eye of Typhoon #PabloPH was located at 150km Northwest of Roxas, Northern Palawan (11.4°N 11 ...",Government,['Official'],Related and informative
150,150,277195817746563073,"RT @dost_pagasa: As of 7:00 AM, the eye of Ty #PabloPH was located 360 km NW of Dagupan City (16.7N, 116.7E) and is moving NNE at 10 KPH.",Government,['Official'],Related and informative
151,151,277323148427411456,I have not used my PDAF for 2012. I will therefore use this fund to help areas devastated by Typhoon Pablo. --... http://t.co/66w8PtkB,Government,['Official'],Related and informative
152,152,277344673616498688,Pagasa: #PabloPH may now pass by extreme Northern Luzon. http://t.co/JaVownUC #anc,Government,['Official'],Related and informative
153,153,277545534644965377,"NDRRMC Latest Report #PabloPH: 464 dead, 465 hurt, 702 missing",Government,['Official'],Related and informative
154,154,277641051534139392,PNP ready to assist in identifying typhoon Pablo’s victims http://t.co/YB4sB9V2,Government,['Official'],Related and informative
155,155,277933281255751680,How the UN Used Social Media in Response to Typhoon Pablo (Updated) http://t.co/WFzJeS2k,Government,['Official'],Related - but not informative
156,156,278045424382799873,"RT @migzzubiri: Ways to donate: PayPal, Ushare, GreenPeso, PayDollar &amp; Multiply. #PabloPH http://t.co/cJUVsHpl",Government,['Official'],Related and informative
157,157,278627845436239872,@UPManilaOnline's Ugnayan ng Pahinungod is accepting donations for the victims of Typhoon #PabloPh. http://t.co/ZKmYmGj3,Government,['Official'],Related and informative
158,158,279067014218272768,RT @dswdserves: ‘Pablo’-hit Pantawid beneficiaries to receive subsidy in December. http://t.co/IZo1qqCF #PabloPH #reliefPH @dinkysunflow ...,Government,['Official'],Related and informative
159,159,279071816696360960,RT @NDRRMC_Opcen: NDRRMC Update SitRep No. 26 re Effects of Typhoon PABLO (BOPHA) as of 13 December 2012. 10:00AM. http://t.co/G8MHAWrq,Government,['Official'],Related and informative
160,160,279118155354357760,"RT @pcdspo: Situation report on the effects of typhoon Pablo (NDRRMC), December 13, 2012, as of 10 a.m http://t.co/pwv3N0dB | via @govph",Government,['Official'],Related and informative
161,161,279201194197528576,COINCIDENCE????? http://t.co/GF0ajmbg … … … Damage due to typhoon Pablo reaches P14 billion - NDRRMC,Government,['Official'],Related and informative
