,Unnamed: 0,Unnamed: 0.1,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
13,13,13,215249416393719808,BIG Colorado Thank You to @Good4UDrinks for sending more drinks to the frontline.  #HighParkFire http://t.co/sSH2NS2y,Outsiders,['Volunteer'],Related - but not informative
14,14,14,215763893904089088,"Boulder, CO; Volunteers take on work of reseeding Fourmile Fire burn area: http://t.co/u8z4SPDA",NGOs,['Volunteer'],Related and informative
15,15,15,215869691003011072,I'm at Target. Can someone tell me what donations are needed for #HighParkFire evacuees and firefighters?,Outsiders,['Volunteer'],Related - but not informative
16,16,16,216262361781248003,Fresh fruit for #HighParkFire personnel staying on campus not needed. Plenty of fruit already! Please donate $ to @NoCORedCross instead,NGOs,['Volunteer'],Related and informative
17,17,17,216550187492057088,"RT @SMDayFoCo2012: Donationsl continue for #HighParkFire at Foothills Mall. #HelpColoradoNow. If you are out an about this morning,... h ...",Business,['Volunteer'],Related and informative
18,18,18,216685898392276992,RT @reporterherald: Red Cross aid distribution center for #HighParkFire set up in old Mervyns building at Foothills Mall. http://t.co/uM ...,NGOs,['Volunteer'],Related and informative
19,19,19,216944376578981888,"#HighParkFire #OwlsNestProject Displaced families need basic, household items. https://t.co/oDiyp3yJ @TMHRealEstate Please join our efforts",NGOs,['Volunteer'],Related and informative
20,20,20,217420929200959488,RT @9NEWS: #COFire RT @RedCrossDenver: Local @NoCORedCross volunteers are responding to a fire near #loc Last Chance,NGOs,['Volunteer'],Related and informative
21,21,21,217481515918049280,"RT @denverpost: How to assist Colorado #wildfire victims, how to donate and help: http://t.co/JgSAw7k6 #highparkfire #waldocanyonfire",Media,['Volunteer'],Related and informative
22,22,22,217720503148888065,RT @dailycamera: Dispatchers: Heavy air tanker now en route to #BisonFire  west of #boulder,Media,['Volunteer'],Related and informative
23,23,23,217784130740568066,"RT @jamesburgepr: RT @PPRedCross: NEW #REDCROSS #SHELTER:   #loc YMCA Southeast Family Center 2190 Jetwing Dr. Colorado Springs, CO 80916...",Government,['Volunteer'],Related - but not informative
24,24,24,217800870237188096,@RADickey43 Please RT. Colorado Springs is suffering badly from a large forest fire. Text the word REDCROSS for a $10 donation. Thank You,NGOs,['Volunteer'],Related and informative
25,25,25,217806423478910976,RT @accruick: we are available to house a displaced kitty or two if needed #flagstafffire cc @HumaneBoulder,NGOs,['Volunteer'],Related and informative
26,26,26,217819505525657601,"RT @ToddinColorado: If you are one of my followers, please RT:  Colorado Springs is burning.  How you can help:  http://t.co/WlipvY7o #w ...",Outsiders,['Volunteer'],Related and informative
27,27,27,217831710933532672,"How to assist Colorado wildfire victims, how to donate and help - The Denver Post http://t.co/37k1YBXl",Media,['Volunteer'],Related and informative
28,28,28,217833459966685184,"RT @denverpost: ALERT: How to assist Colorado #wildfire victims, how to donate and how to help: http://t.co/O0Ucen6H #cofire",Media,['Volunteer'],Related and informative
29,29,29,217852493693071363,"RT @jasontalklaunch: HELP Colorado fight the wildfires allocate gov resources now, don't screw this up! @BarackObama @whitehouse #WaldoC ...",Outsiders,['Volunteer'],Related and informative
30,30,30,217874698359418881,@billmaher please RT - help Colorado Springs with the #WaldoCanyonFire http://t.co/jk4lVnhb we need all the help we can get right now!,Media,['Volunteer'],Related - but not informative
31,31,31,217979312693968896,RT @stevelange: Plz RT How 2 help those affected by the CO fires: http://t.co/o4tFNLf2 #waldocanyonfire #flagstafffire #highparkfire,Outsiders,['Volunteer'],Related - but not informative
32,32,32,217982647148879873,"RT @iowahawkblog: Wildfires rage in Colorado; EPA, Interior Dept promise to send emergency string quartet",Media,['Volunteer'],Related and informative
33,33,33,217988888264847360,Collecting donations for the @redcross #WaldoCanyonFire #HighParkFire #FlagstaffFire #cofire @InsuranceMktg http://t.co/6J3dkHGN,NGOs,['Volunteer'],Related and informative
34,34,34,217997385958309889,The Red Cross is sending one of its Texas leaders to Colorado. How they're helping in the midst of devastating wildfires on #KVUEMidday,NGOs,['Volunteer'],Related and informative
35,35,35,218031976375001090,RT @bouldercounty: Material donations are NOT needed for the #FlagstaffFire at this time. Financial support is the best way to help. Inf ...,Government,['Volunteer'],Related and informative
36,36,36,218051752493191169,RT @louanndonovan: Photo taken by someone of wildfire in Colorado Springs. Shows #SalvationArmy there helping. #waldocanyonfire http://t ...,Outsiders,['Volunteer'],Related and informative
37,37,37,218066633904762880,RT @FeedingAmerica: The outpouring of support for @careandsharefb is awesome! They are helping the Colorado fire evacuees http://t.co/KX ...,NGOs,['Volunteer'],Related - but not informative
38,38,38,218099676640063490,RT @wilw: RT @SidSuicide Can you please RT? Visit http://t.co/ndFLJhes  to help with the Colorado fires. #WaldoCanyonFire Help if you  ...,Media,['Volunteer'],Related - but not informative
39,39,39,218112192451579904,"Our shelter team arrived in Colorado early this morning &amp; has been transferred to Divide, CO to assist with wildfire evacuees in that area",NGOs,['Volunteer'],Related and informative
40,40,40,218115711451668480,"RT @Denver_Broncos: Broncos pledge $50,000 to Colorado wildfire relief efforts http://t.co/iYjcy2LQ",Business,['Volunteer'],Related and informative
41,41,41,218155913851314177,RT @fema: (June 27) Please share: how to help those affected by the #WaldoCanyonFire #FlagstaffFire #HighParkFire http://t.co/tmtZDniU,Government,['Volunteer'],Related and informative
42,42,42,218312608854441984,Christians respond as Colorado wildfires spread: The Billy Graham Rapid Response Team is in Colorado and New Mex... http://t.co/G3OU6rjn,NGOs,['Volunteer'],Related and informative
43,43,43,218334708638031872,Where can I donate to wildfire relief in Colorado?,Outsiders,['Volunteer'],Related - but not informative
44,44,44,218380942467792896,RT @Colorado: Custom tees - 100% of proceeds benefit Colorado wildfire victims: http://t.co/4Ou4TqFY #COFires,NGOs,['Volunteer'],Related - but not informative
45,45,45,218391159788158978,100% of profits from these awesome tees benefit CO Red Cross &amp; Care and Share Food Bank: http://t.co/3v6tw16d - help victims of CO #Wildfire,NGOs,['Volunteer'],Related and informative
46,46,46,218412684947890179,RT @SalArmyEDS: Help #SalvationArmy assist disaster survivors - T.S. #Debby http://t.co/A7olsEBO &amp; Colorado #wildfires http://t.co/O ...,NGOs,['Volunteer'],Related and informative
47,47,47,218434323362222081,@TaycoEast Please RT! Help My Friends in CO .Great way to help support Colorado Fire ... http://t.co/3PtCieHl thanks!  @WilliamFederico,Outsiders,['Volunteer'],Related - but not informative
48,48,48,218459178795151360,RT @YahooForGood: How you can help: Donate here to help victims of the Colorado wildfires http://t.co/NlW3S9mU @YahooNews #donate #help  ...,NGOs,['Volunteer'],Related and informative
49,49,49,218692809920749572,Colorado Fire Relief benefit concerts at Red Rocks to help wildfire victims  Auctions start NOW 7 a.m. - 10 a.m. http://t.co/1268fmdz,NGOs,['Volunteer'],Related and informative
50,50,50,218718936269717504,"Send #LOVE, LIGHT &amp; Healing energies to those in #Colorado who have lost their homes.  Donate http://t.co/9504H4jb",Outsiders,['Volunteer'],Related - but not informative
51,51,51,218722480452403200,RT @RickCODem: PresObama declares disaster in Colorado fires:orders aid to supplement recovery. #HighParkFire #waldencanyonfire http://t ...,Media,['Volunteer'],Related and informative
52,52,52,218729627529658368,Colorado Wildfires: Online Community Steps Up http://t.co/UF24e1k1,Media,['Volunteer'],Related and informative
53,53,53,218729979838595072,Help Colorado Springs Military Communities Threatened by Fires - http://t.co/Tnse6dJD,Media,['Volunteer'],Related and informative
54,54,54,218749084922683392,Boise Firefighters Battling Colorado Wildfires: Members of the Boise Fire Department are on... http://t.co/iVwuVxRT #News #US #Idaho #ID,Media,['Volunteer'],Related and informative
55,55,55,218797390717657090,The Creatures are doing a 24hr charity stream for victims of the Colorado fires(Red Cross &amp; Firefighters) http://t.co/8RolhZf4,NGOs,['Volunteer'],Related and informative
56,56,56,218804101591482368,@IIJERiiCHOII The creatures are doing a 24 hour livestream to raise money for the Colorado wildfires. RT's appreciated! http://t.co/HcpVlJaV,NGOs,['Volunteer'],Related and informative
57,57,57,218810749550739456,@ChilledChaos If you have time could you do a shout-out for the Creatures charity stream for the Colorado Wildfires? http://t.co/18MIitkH,Outsiders,['Volunteer'],Related - but not informative
58,58,58,218824448155987971,RT @Colorado: Please RT: Text the word FIRE to 80000 to donate $10 to the Colorado Fire Relief Fund 2012 @mgive,NGOs,['Volunteer'],Related - but not informative
59,59,59,218828663431503875,RT @akcdoglovers: AKC CAR donates to help displaced animals in the Colorado wildfires http://t.co/6xyBDyv9,NGOs,['Volunteer'],Related and informative
60,60,60,218832379597426688,@RedCross These guys are raising money to donate to your efforts in the colorado wildfires. please retweet http://t.co/qj4klSrg,NGOs,['Volunteer'],Related and informative
61,61,61,218845251903827968,"How Social Media Is Helping Colorado Wildfire Relief: More About: disaster relief, red cross, Social Media http://t.co/BTDZQjOG",Media,['Volunteer'],Related and informative
62,62,62,218846111761313792,How Social Media Is Helping Colorado Wildfire Relief http://t.co/VNCtlrsP,Media,['Volunteer'],Related and informative
63,63,63,218848087282683907,RT @feralbecky: Alley Cat Allies Offers Remote Assistance To Fire-affected Regions Of Colorado http://t.co/mBRponmU,Media,['Volunteer'],Related and informative
64,64,64,218905796694654976,RT @TheSmarmyBum: Need a T-shirt? 100% of the proceeds from these go to benefit Colorado wildfire victims http://t.co/37VnQcng,NGOs,['Volunteer'],Related and informative
65,65,65,218947265790881793,Cigna Offers Assistance to People Impacted by Colorado Wildfires - MarketWatch (press release) http://t.co/Ys0kE7ky,Business,['Volunteer'],Related and informative
66,66,66,219441031844859904,RT @InspiringMasses: Please share: how to help those affected by the Wild Fires in Colorado - http://t.co/mpFfm8gP,Outsiders,['Volunteer'],Related and informative
67,67,67,219500863570448384,RT @jr_briggs: Want to help victims of the Colorado Springs fire? My brother shares some ridiculously practical ways here:  http://t.co/ ...,Outsiders,['Volunteer'],Related and informative
68,68,68,219599878513369088,RT @MGHuff: How to help those affected by #Wildfires in #Colorado http://t.co/W4IHiA27 #prayforcolorado #coloradofires #cofire,Outsiders,['Volunteer'],Related and informative
69,69,69,219934923707006978,Cocktails and apps to benefit colorado wildfire relief at the laundry. @dawnhancock would be very proud!,NGOs,['Volunteer'],Related and informative
70,70,70,220021229879439360,With all that has happened to Colorado Springs in the past week Touch of Shade feels obligated too give back to... http://t.co/uJJuddfB,Business,['Volunteer'],Related and informative
71,71,71,220167141331181569,RT @RVRB: #WaldoCanyonFire benefit concert to feature the Fray’s Isaac Slade with the Colorado Springs Philharmonic: http://t.co/DwmB2uCF,NGOs,['Volunteer'],Related and informative
72,72,72,220313698709938176,RT @jessicahische: Help support Colorado wildfire victims AND get a rad t-shirt in the process http://t.co/RarD5eZG,Outsiders,['Volunteer'],Related and informative
73,73,73,220600584921821185,RT @SkratchLabs: Check out @cofiresale and bid on a year supply of @SkratchLabs to help raise money for the Colorado Fires.  Please RT!,Not applicable,['Volunteer'],Related and informative
74,74,74,220685225959759873,"RT @fosterthefuture: @fosterthepeople fans helped us raise $15,830 for the Colorado Wildfire Relief Fund last night at Red Rocks. Speech ...",NGOs,['Volunteer'],Related and informative
75,75,75,220695359394037760,"Colorado Springs is my town also, PLEASE if ya can help  http://t.co/nwxJJOTx help with your donations",Outsiders,['Volunteer'],Related - but not informative
76,76,76,220903099093630976,"RT @fosterthepeople: “@fosterthefuture: fans helped us raise $15,830 for the Colorado Wildfire Relief Fund last night at Red Rocks. Spee ...",NGOs,['Volunteer'],Related and informative
77,77,77,221503954108940290,PetMeds Joins Efforts to Help Pets Affected by Colorado's Wildfires - http://t.co/UDuezJVo (press release): PetMe... http://t.co/pokBfuLw,Media,['Volunteer'],Related and informative
78,78,78,243368990867611650,"RT @PilarAcuna RT “@ameliarueda: Alistar un maletín con lo básico: medicinas, radio, foco, alimentos. #terremotocr. / Confirman 7.3 grados",Media,['Volunteer'],Related and informative
79,79,79,243474829934735360,"RT @ADNfm: Panamá fue el primer país en ofrecer ayuda a Costa Rica tras terremoto de esta mañana. Además Guatemala, Honduras, Salvador.",Media,['Volunteer'],Related and informative
80,80,80,243496812286197760,RT @CruzRojaInforma: Delegados de Manejo de Desastres movilizados por #CruzRoja a #CostaRica para apoyar operaciones tras terremoto 7.9  ...,NGOs,['Volunteer'],Related and informative
81,81,81,243534309359751168,RT @prensa_libre: Guatemala manifiesta solidaridad con Costa Rica por terremoto de 7.6 grados http://t.co/U47Hlp91,Media,['Volunteer'],Related and informative
82,82,82,244003295486701568,COSTA RICA: Cáritas pide atender viviendas de zonas pobres afectadas por terremoto. http://t.co/b9e2y57E,NGOs,['Volunteer'],Related and informative
83,83,83,275117779202494464,"RT @focfashionmusic: Prep for Typhoon Bopha: Stock 'em canned goods&amp;water, charge all electronix, and watch #MyParanormalRomance tod ...",Eyewitness,['Volunteer'],Related and informative
84,84,84,275241657971130369,RT @MatEick: #EU #Humanitarian #Aid ECHO monitoring #Typhoon #Bopha See latest flash report http://t.co/OoaNKUq3,Outsiders,['Volunteer'],Related and informative
85,85,85,275484130681188352,@cdobloggers Thanks for info.. Our emergency team is monitoring the situ from here in HK.. Keep it coming. #PabloPH #CDO,Media,['Volunteer'],Related and informative
86,86,86,275503827141132288,Google gets ready to help PH prepare for #PabloPH through http://t.co/cMrwdclm http://t.co/Ykgxrwe5 | @tinaarceodumlao,Business,['Volunteer'],Related and informative
87,87,87,275523628450344960,"DSWD Field Offices nakaantabay sa dadaanan ng bagyong #PabloPH, standby funds at relief supplies handa na. | via @DSWDserve #reliefPH",Government,['Volunteer'],Related and informative
88,88,88,275524865753247744,"RT @pcdspo: DSWD Field Offices nakaantabay sa dadaanan ng bagyong #PabloPH, standby funds at relief supplies handa na. | via @DSWDserve  ...",Government,['Volunteer'],Related and informative
89,89,89,275842139705995264,RT @TheNextWeb: Google provides support in the Philippines with crisis response map for Typhoon Pablo http://t.co/kGHtQmYB by @jonrussell,Media,['Volunteer'],Related and informative
90,90,90,275846640194170880,"#reliefPH Food packs, water &amp; non-food items needed. In #Iligan, pls contact: @rmpnmr +63 223 5179 or BALSA #Mindanao #Lanao +63 222 6516",NGOs,['Volunteer'],Related and informative
91,91,91,275856941413191680,#PabloPH if you cash? then Join and Cick ! ! ! http://t.co/NwJM0F6H,Not applicable,['Volunteer'],Related and informative
92,92,92,275913673577480193,#News #feed Google provides support in the Philippines with crisis response map for Typhoon Pablo http://t.co/StjJB1Z0  #feed,Media,['Volunteer'],Related and informative
93,93,93,275916827660537857,"Xavier University calls for volunteers to man the evacuation centers at XU main, Manresa and Peublo Campuses. #PabloPH #CDO",NGOs,['Volunteer'],Related and informative
94,94,94,275932782805516289,"#reliefPH #rescuePH #PabloPH RT @asl012712 please send help to our kababayans at Boston, Davao Oriental. They badly need help.",Eyewitness,['Volunteer'],Related and informative
95,95,95,275985282921271296,RT @TourismPinas: #ReliefPH: How to Help #PabloPH http://t.co/qwiDTeaF,NGOs,['Volunteer'],Related and informative
96,96,96,275985744298913792,Storm Watch: #PabloPH They need immediate help. #DavaoCity https://t.co/p9CMzQNh @BongEliab @ADDU_Official @addusamahan,NGOs,['Volunteer'],Related and informative
97,97,97,275988600603164673,"@thatguySLATER HELP ME TREND #PabloPH #rescuePH #reliefPH #CATEEL #DAVAOORIENTAL, LET'S TREND IT! HELP MY PROVINCE :((((((((",Eyewitness,['Volunteer'],Related and informative
98,98,98,276204162650361856,"Baganga, Davao Oriental is in need of water, foods, and clothings. #HELPBaganga #PabloPH ...",Eyewitness,['Volunteer'],Related and informative
99,99,99,276204850549751808,@noynoyaquino  pls send help to baganga davao or. Badly hit by #PabloPH  isolated bec bridge broken Ppl need food and water #HELPBAGANGA,Outsiders,['Volunteer'],Related and informative
100,100,100,276242544751423488,Drop off center for Davao-based friends to help #PabloPH victims via @AFRIMindanao  http://t.co/ou7AR1iH,NGOs,['Volunteer'],Related and informative
101,101,101,276289093112057856,RT @gmanews: Palace statement on #PabloPH relief operations: http://t.co/fRJYervE,Media,['Volunteer'],Related and informative
102,102,102,276294147265163266,"GK OPERATION WALANG IWANAN : ACTIVATED!  Even as Typhoon Pablo continues to threaten some parts of the country,... http://t.co/PcWiBoRu",NGOs,['Volunteer'],Related and informative
103,103,103,276304108749742080,"RT @ANCALERTS: Soliman: We need more children's clothes, mats, blankets, flashlights, generator sets, tents. #PabloPH #primetime",Media,['Volunteer'],Related and informative
104,104,104,276361352589750274,RT @HecklerForever: RT @juanxi: #reliefPH: How you can help http://t.co/EAEmBuJ8 #storify #reliefph #pabloph,NGOs,['Volunteer'],Related and informative
105,105,105,276424720130387968,Text GIVE 12696 to 80088 to donate $10 to help 5000 Families affected by Typhoon #Bopha in the #Philippines: http://t.co/8dccO6lI,NGOs,['Volunteer'],Related and informative
106,106,106,276481011901161473,RT @iamsuperbianca: how to help those affected by #PabloPH. please spread the word. #SagipKapamilya http://t.co/pAkSjF26,Outsiders,['Volunteer'],Related and informative
107,107,107,276489073366036480,"RT @dzIQ990: .@MsArlyndelaCruz: PNoy scheduled to visit victims of #PabloPH by tom accdg to DSWD Sec. Dinky Soliman. First stop, Com Valley",Media,['Volunteer'],Related and informative
108,108,108,276489568256159745,"@JURISfernandez Our hometown,Monkayo,needs food,clothes,medicines and shelters,#HelpMonkayo #reliefPH #PabloPH #Bopha http://t.co/qDAJ59Fy",Eyewitness,['Volunteer'],Related and informative
109,109,109,276493892604547072,RT @iamsuperbianca: how to help those affected by #PabloPH. please spread the word. #SagipKapamilya http://t.co/pAkSjF26,Media,['Volunteer'],Related and informative
110,110,110,276507238884048896,RT @twitter_ph: How to help:  Where to donate or volunteer #PabloPH #reliefPH via #blogwatch http://t.co/GO8qrEN2,NGOs,['Volunteer'],Related and informative
111,111,111,276516768317599745,RT @ayalafoundation: Ayala Foundation is now accepting cash donations to help families affected by Typhoon Pablo. Visit: http://t.co/20T ...,NGOs,['Volunteer'],Related and informative
112,112,112,276532857667723265,RT @SerbisyongKoko: Sen.@Koko_Pimentel appeals to your generosity for our kababayans affected by typhoon #PabloPH.  http://t.co/DN3vPSqW ...,Media,['Volunteer'],Related - but not informative
113,113,113,276562037461635072,Caritas Manila is accepting donations for the Typhoon Pablo victims.Peso Bank Acct: METROBANK SA # 1753-17506954-3; PNB CA # 10-856-660001-7,NGOs,['Volunteer'],Related and informative
114,114,114,276566605050286080,Looking for ways to donate to the victims of #PabloPH? Check out our list: http://t.co/oJoHsCgZ,Outsiders,['Volunteer'],Related and informative
115,115,115,276624536768765952,RT @ABSCBN: Tulungan po natin ang mga biktima ng #PabloPH! Maaari po tayong magbigay ng donasyon sa Sagip Kapamilya. #ReliefPH http://t. ...,Media,['Volunteer'],Related and informative
116,116,116,276627363758997504,RT @rafiorgph: RAFI holds assessment after #PabloPH http://t.co/eyQ6ebyp @davaobloggers @LaagannaCebuana @dulcelada @inahannikarya @food ...,Media,['Volunteer'],Related and informative
117,117,117,276655784337756160,"RT @tonyocruz: #reliefPH In Iligan, bring your donations to BALSA Mindanao, Lanao Formation, 0058 Sunset Court, San Miguel, Iligan City  ...",NGOs,['Volunteer'],Related and informative
118,118,118,276695198208253953,RT @hellyeahazkals: How about a good deed this holiday season? Learn ways to help the victims of Typhoon Pablo. http://t.co/k6ZTPhEv #Ba ...,Outsiders,['Volunteer'],Related - but not informative
119,119,119,276733278311038976,RT @gmanews: House members give P5k each from salaries to #PabloPH victims http://t.co/nNjlgZpH,Media,['Volunteer'],Related and informative
120,120,120,276773757551525889,Volunteers needed in #Mindanao to help #pabloPH survivors: http://t.co/QTKgyexO #bophPH #reliefPH #hmrd via @Aline_Carr,Eyewitness,['Volunteer'],Related and informative
121,121,121,276776328655671296,"Disaster relief efforts for those affected by typhoon Bopha are ongoing, with the assistance of the national... http://t.co/zWg8xdq1",Outsiders,['Volunteer'],Related and informative
122,122,122,276848164504489987,Will be in Davao tomorrow to help in the #PabloPH #reliefPH relief drives. Pls feel free to tweet me if u want to send donations. Pls RT. TY,NGOs,['Volunteer'],Related and informative
123,123,123,276864547422363648,@annecurtissmith miss anne are you raising  some funds for the victims of Typhoon Pablo? some one is asking to join :),Outsiders,['Volunteer'],Related - but not informative
124,124,124,276893374873735169,You may drop off your #PabloPH donations at any LBC branch nationwide until Dec. 21st. Please tell your friends http://t.co/naEWVMom,Outsiders,['Volunteer'],Related and informative
125,125,125,276897787281567745,mySister on W.DC gathered lil donations for the victims of #Pablo. May Lord bless you and all other Pnoy's abroad. Bless your work,Outsiders,['Volunteer'],Related - but not informative
126,126,126,276907195109613568,TULONG KABATAAN: #PabloPH  Let's help our kababayans in Mindanao. We are in need of donations and volunteers. Keep... http://t.co/LyHpzGhP,Outsiders,['Volunteer'],Related and informative
127,127,127,276909501981020160,“@nirvadel: Nicey..Cancelling a Christmas party to donate to #PabloPH victims.” #rhbill,Outsiders,['Volunteer'],Related and informative
128,128,128,276911792096161792,"“@gmanews: Town of Sto. Tomas, Pampanga, to donate 500 coffins for victims of Typhoon #PabloPH.”",Media,['Volunteer'],Related and informative
129,129,129,276915793428635648,Anyone who wants to donate for the victims of Typhoon #PabloPH can directly contact us and we'll assist you with your donations. #ShaRED #fb,NGOs,['Volunteer'],Related and informative
130,130,130,276936479769509888,#tgif &lt;3 lets do help the victims of typhoon pablo. tss.. kung kelan magchi-#christmas tsaka naman nanyare yung ganito sa #philippines,Outsiders,['Volunteer'],Related - but not informative
131,131,131,276941064139599872,"There is urgent for food, tents, bottled water, thermos, plastic crates, &amp; other basic supplies for #PabloPH survivors http://t.co/hJeNwgjS",Outsiders,['Volunteer'],Related and informative
132,132,132,276962501197975553,[ThePhilStar] More aid pour into Pablo-hit areas | More relief goods are now on its way to the typhoon Pablo-hit Dav... http://t.co/4y4TqRM3,Media,['Volunteer'],Related and informative
133,133,133,276962916450844672,Potable water needed by storm-hit areas. Water filtration systems on the way | via @rickycarandang #PabloPH #ReliefPH,Media,['Volunteer'],Related and informative
134,134,134,276969597998071809,RT @moncorpuz: @jamelaaisha BlackPencilProject #YakapMindaNOW toy drive for Davao Oriental @IAmBlackPencil #PabloPH #reliefPH http://t.c ...,Eyewitness,['Volunteer'],Related and informative
135,135,135,276977109979758592,"Let's help the victims of #PabloPH in ComVal, #Davao Del Norte, Davao Oriental and other badly hit areas. http://t.co/fQV8HalR",Outsiders,['Volunteer'],Related and informative
136,136,136,276992737943891968,RT @WorldVisionPH: WV emergency team just arrived #Agusan to assist #PabloPH survivors. @mai_wv,NGOs,['Volunteer'],Related and informative
137,137,137,277012451164291072,Any relief operations in Makati and Taguig area? I'd like to volunteer #pabloPH,Outsiders,['Volunteer'],Related and informative
138,138,138,277109624820334592,RT @llainey: Help is on its way! #PabloPH http://t.co/nlCryL7G,Eyewitness,['Volunteer'],Related and informative
139,139,139,277145356104511488,RT @JustinTrudeau: Typhoon Bopha has claimed hundreds of lives &amp; displaced thousands. Please donate through redcross.ca http://t.co/ ...,Outsiders,['Volunteer'],Related and informative
140,140,140,277175546713088000,"RT @WorldVisionPH: Help provide relief assistance to 8,000 families affected by Typhoon Pablo. Donate http://t.co/wGch2oNg PLS RT! http: ...",NGOs,['Volunteer'],Related and informative
141,141,141,277187257184681985,"To those who have more in life,share your blessings to the unfortunate victims of typhoon pablo.GOD,ALMIGHTY will reward u back!!!!",Outsiders,['Volunteer'],Related and informative
142,142,142,277231494496407552,RT @ABSCBNNews: Sagip Kapamilya accepts aid for 'Pablo' victims #PabloPH #ReliefPH http://t.co/U0qYF97h,Media,['Volunteer'],Related and informative
143,143,143,277323148427411456,I have not used my PDAF for 2012. I will therefore use this fund to help areas devastated by Typhoon Pablo. --... http://t.co/66w8PtkB,Government,['Volunteer'],Related and informative
144,144,144,277350797304541185,"RT @SMARTCares: Extend help to #PabloPH affected countrymen via Red Cross. To donate,type RED &lt;AMOUNT&gt; to 4143. Valid amts: 10, 25 ...",NGOs,['Volunteer'],Related and informative
145,145,145,277354991621136384,"Pacquiao fight won't affect typhoon search, rescue missions http://t.co/yHgbMGZu #PabloPH",Outsiders,['Volunteer'],Related - but not informative
146,146,146,277430073831874561,"RT @ABSCBN_Fdn: Sagip Kapamilya bank Account numbers for Typhoon Pablo:  BDO, BPI, PNB, Metrobank http://t.co/YWIE8pgq",Media,['Volunteer'],Related and informative
147,147,147,277441721435054080,"RT @carooxfam: #typhoon bopha  #Oxfam rolls out emergency response for towns completely devastated in southern Mindanao, PHL http://t.co ...",NGOs,['Volunteer'],Related and informative
148,148,148,277595203605516290,RT @Dugong_Bayani: JOEY AYALA performs for Typhoon Pablo victims. Watch him along with many other artists!... http://t.co/5c4k2rmg,NGOs,['Volunteer'],Related - but not informative
149,149,149,277641051534139392,PNP ready to assist in identifying typhoon Pablo’s victims http://t.co/YB4sB9V2,Government,['Volunteer'],Related and informative
150,150,150,277764921922551808,"Any amt will go a long way for those affected by #PabloPH! Drop by the booth in Gonzaga Caf tom til Fri, 1030-430 pm!☺ http://t.co/oFC8Kcn8",NGOs,['Volunteer'],Related and informative
151,151,151,277786136707989504,"RT @rapplerdotcom: A lot of our kababayans still need your help. Read: 177,801 in evacuation centers after #PabloPH http://t.co/qGdcZTTh ...",Media,['Volunteer'],Related and informative
152,152,152,277933281255751680,How the UN Used Social Media in Response to Typhoon Pablo (Updated) http://t.co/WFzJeS2k,Government,['Volunteer'],Related - but not informative
153,153,153,277955972440420353,"Sagip Kapamilya relief efforts for the victims of Typhoon Pablo (as of December 7, 2012, 5:00pm) http://t.co/QD2RYsj8 via @lopezlinkph",NGOs,['Volunteer'],Related and informative
