Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
98,212377068904787969,RT @YahooNews: Hundreds are evacuated as the wildfires in Colorado and New Mexico continue to spread: http://t.co/kE24RNiZ,Media,Affected individuals,Related and informative
99,212384295719931904,"RT @dailycamera: #HighParkFire has grown to 41,000 acres; one dead; more than 100 structures burned in #Larimer.  via @denverpost.  http ...",Media,Affected individuals,Related and informative
105,212452734148939776,"Colorado fire: 41,140 acres burned, 1 dead: Firefighters were hoping to get control Tuesday of a fast-moving wil... http://t.co/S2s77VSh",Media,Affected individuals,Related and informative
107,212484971594649600,"Colorado fire: 41,140 acres burned, 1 dead: Firefighters were hoping to get control Tuesday of a fast-moving wildfire in northern Col...",Media,Affected individuals,Related and informative
108,212525333348491264,BBC News - Hundreds forced from their homes by Colorado wildfire http://t.co/rAKBJwQJ,Media,Affected individuals,Related and informative
117,212581637702168577,Woke up to the smell of smoke in Denver this morning. Thoughts are with those affected by #HighParkFire,Eyewitness,Affected individuals,Related - but not informative
127,212617469645438976,RT @BreakingNews: Evacuation order issued in Colorado's High Park Fire - @LarimerSheriff http://t.co/HuSEbG39,Media,Affected individuals,Related and informative
135,212678790353137664,RT @kmitchellDP: Colorado wildfire: some residents defy evacuation order for #highparkfire. http://t.co/GuU8MduG,Eyewitness,Affected individuals,Related and informative
136,212679595655299072,RT @coloradoan: RT @LarimerHumane: ready for more evacuated animals from #highparkfire - call dispatch at 970-226-3647 ext. 7 to find ou ...,NGOs,Affected individuals,Related and informative
142,212740819948539905,"Colorado wild fire now 44,000 acres and growing - respect for the fire fighters, thoughts with the homeless",Media,Affected individuals,Related and informative
189,213387053143031809,RT @LarimerHumane: Marsha and her husband had to leave their horses and evacuate immediately from the #HighParkFire. Larimer Humane... h ...,Eyewitness,Affected individuals,Related and informative
195,213470175830351872,"More evacuated as wildfires spread in New Mexico, Colorado http://t.co/9THdcRnY",Media,Affected individuals,Related and informative
200,213597628162777088,Colorado wildfire hops road: Firefighters Thursday made progress against a massive wildfire 15 miles west of For... http://t.co/vg18pC4v,Outsiders,Affected individuals,Related and informative
248,214527358533767170,RT @Org9: #note Please those affected by #highparkfire know that auth will make arrangements to get the affected #animals out - do not f ...,NGOs,Affected individuals,Related - but not informative
271,214949230027096064,"RT @dbouwman: Pretty smoke free day Fort Collins, but the smoke is settling in now... closing windows! #highparkfire",Eyewitness,Affected individuals,Related - but not informative
285,215119355187445760,"RT @cnnbrk: #Colorado firefighters facing more wind, heat. http://t.co/wQA8phBt",Media,Affected individuals,Related and informative
301,215317343130238976,RT @EmrgncyNewsWire: Wildfires could force more evacuations - WTVQ http://t.co/M4ZZEu6w #Wildfire,Media,Affected individuals,Related and informative
311,215543047017074690,RT @TyCBS4: This sign welcomes evacuees back into the Soldier Canyon area #HighParkFire @CBSDenver http://t.co/mtFLYtPO,Media,Affected individuals,Related and informative
315,215578157523275776,390 #HighParkFire evacuees  told they can return home Wednesday http://t.co/cVMgyEwm,Media,Affected individuals,Related and informative
361,216626137940504577,Today my lifelong fear of our cabin in Colorado succumbing to fire has actually become a reality.,Eyewitness,Affected individuals,Related - but not informative
369,216664859759214592,RT @VisitCOS: Follow #waldofire for information and updated evacuations,Government,Affected individuals,Related and informative
382,216899384279961601,#waldocanyon fire....Views from my parents neighborhood....they have evacuated. I did steal these photos fro http://t.co/W8xDNvLw,Eyewitness,Affected individuals,Related and informative
383,216900122443923456,RT @AP: Wildfire near Colorado Springs quickly becoming dangerous threat as thousands of residents evacuate homes: http://t.co/ZTtTJqY9 -JM,Media,Affected individuals,Related and informative
387,216931198067421185,Colorado town evacuated as wildfire nears http://t.co/0W8M2PbK,Media,Affected individuals,Related and informative
395,216962340774617089,Thousands evacuated as Colorado wildfire nears http://t.co/1jtGu6Bb,Media,Affected individuals,Related and informative
407,217030749856088066,"I have it on good authority that most of Colorado’s Front Range is on fire. Many displaced families, little relief in sight. So sad to hear.",Outsiders,Affected individuals,Related and informative
409,217048223334932480,"Wildfires burn across Colorado, thousands evacuated: A spate of wildfires were burning across Colorado on Sunday... http://t.co/YCfAQPpQ",Media,Affected individuals,Related and informative
410,217048252682477568,"RT @ColoSpringsNews: 11,000 under evacuation orders: Nine aircraft are now fighting the fire just west of Colorado Springs.  This... htt ...",Media,Affected individuals,Related and informative
421,217117190275596288,"RT @9NEWS: BREAKING: new #COFire near Platteville, Weld Co CR32 &amp; CR35, there are evacuations PIC from Allyson Kulinski  http://t.co ...",Media,Affected individuals,Related and informative
432,217305728438902786,"#newbedon 6/25/2012 9:18:21 PM Colorado fire near Pikes Peak forces 11,000 from homes http://t.co/TaLcSsIr",Media,Affected individuals,Related and informative
435,217351928705847297,RT @Coloradoan_TH: Photos from one of the wildland firefighters working here: RT @BrittIronShell: When we had night shift #HighParkFire  ...,Media,Affected individuals,Related and informative
436,217352981446787072,"#newbedon 6/26/2012 12:26:07 AM Colorado fire near Pikes Peak forces 11,000 from homes http://t.co/2ILQbLn8",Media,Affected individuals,Related and informative
450,217569856327909376,"#newbedon 6/26/2012 2:47:53 PM Colorado fire near Pikes Peak forces 11,000 from homes http://t.co/2ILQbLn8",Media,Affected individuals,Related and informative
458,217663359955378177,"#newbedon 6/26/2012 8:59:26 PM Colorado fire near Pike's Peak forces 11,000 from homes http://t.co/Krvavzxj",Media,Affected individuals,Related and informative
479,217744897220943873,Watched the smoke plumes grow and spread driving home from work this afternoon. Scary stuff. #FlagstaffFire,Eyewitness,Affected individuals,Related and informative
494,217762114847252481,"Yikes, that smoke is too close for comfort. Stay safe, #Boulder! #flagstafffire",Outsiders,Affected individuals,Related - but not informative
497,217764350415474689,@55Bentley The Waldo fire is less than 5 Miles from Air Force Academy. Colorado is burning up. All I smell is smoke.,Eyewitness,Affected individuals,Related and informative
505,217772055343534080,"RT @AC360: #Breaking news tonight: 7,000 more people should evacuate immediately in #Colorado. Stay with #AC360 tonight.",Media,Affected individuals,Related and informative
511,217781366698426369,"RT @Reuters: Colorado wildfire worsens, forcing 7,000 more from homes http://t.co/Zh5TRlyg",Media,Affected individuals,Related and informative
512,217782306209939456,"RT @Reuters: Colorado wildfire worsens, forcing 7,000 more from homes http://t.co/Zh5TRlyg",Media,Affected individuals,Related and informative
516,217786064314707968,Being able to see the forest fires in New Mexico/Colorado from our hotel #sketchy,Eyewitness,Affected individuals,Related - but not informative
517,217786068500627456,"Colorado wildfire worsens, forcing 7,000 more from homes - Terra USA  http://t.co/KnMQZpNp via @TerraNoticiasUS",Media,Affected individuals,Related and informative
518,217792842322554880,"Colorado wildfire worsens, forcing 7,000 more from homes: COLORADO SPRINGS (Reuters) - A monster Colorado wildfire raging near some o...",Media,Affected individuals,Related and informative
519,217794167710023681,@jolantheerb Horrible fires. Colorado Springs is being evacuated. #beechrt,Outsiders,Affected individuals,Related and informative
523,217796789141643265,RT @PatrickSandusky: This is colorado springs right now. Look at this photo and be shocked.  Its f'ing armageddon here http://t.co/W6fXJr2H,Outsiders,Affected individuals,Related and informative
524,217797275706064897,RT @jrmontag: I usually love the smell of a campfire. Not so much when it's burning my town. #FlagstaffFire,Eyewitness,Affected individuals,Related - but not informative
534,217803189683105795,RT @anotabletweeter: RT @lakalt: @robertirvine1 @chefsymon @altonbrown @Bourdain Colorado Springs is on fire!  Tens of thousands forced  ...,Outsiders,Affected individuals,Related and informative
551,217814388474785793,RT @PatrickSandusky: This is colorado springs right now. Look at this photo and be shocked.  Its f'ing armageddon here http://t.co/W6fXJr2H,Outsiders,Affected individuals,Related and informative
552,217815319593500673,"RT @wunderground: #waldocanyonfire MT @SeanSublette13: Terrifying fire in Colorado Springs, CO. Evacuations underway http://t.co/V9dQnzLz",Media,Affected individuals,Related and informative
560,217822236009172993,"RT @KerrinJeromin: Wow. terrible MT @wunderground @SeanSublette13  Terrifying fire in Colorado Springs, CO. Evacuations underway http:// ...",Outsiders,Affected individuals,Related and informative
567,217825767592165376,"RT @stellar_zee: @andersoncooper are you seeing what is happening in colorado springs? major wildfire, 32,000 evacuated. major news nets ...",Media,Affected individuals,Related and informative
570,217826874888425474,“@nealrogers: Colorado Springs. On fire. Right now. Holy shit. http://t.co/Opb4IBzh” went through this twice in San Diego. RAIN! Damn it!,Outsiders,Affected individuals,Related and informative
574,217828510692155392,"RT @stormchaser4850: Developing: Around 32,000 evacuated in the Colorado Springs, CO area due to destructive wildfire via press conference",Media,Affected individuals,Related and informative
578,217830570087022592,"RT @hillaryrosner: 32,000 people have been evacuated in Colorado Springs, and the NYT home page is still Nora Ephron. I find that upsetting.",Outsiders,Affected individuals,Related and informative
587,217833833238773760,RT @ehtflags: Heat hampers efforts to fight Colorado fires: Air Force Academy officials were evacuating roughly one-third of h... http:/ ...,Government,Affected individuals,Related and informative
591,217837511664353280,Fire brings Colorado Springs evacuations  http://t.co/D4snpVKU,Media,Affected individuals,Related and informative
592,217838312784793600,"RT @cinnamon_carter: RT @NBCNews: 32,000 evacuated from homes in Waldo Canyon wildfire. Live coverage in Colorado from our affiliate @9N ...",Media,Affected individuals,Related and informative
601,217842607752085505,"Colorado wildfires worsen, 32,000 flee homes http://t.co/kMM7ojqt via @reuters",Media,Affected individuals,Related and informative
611,217849301836120064,PRAYING.. RT @leighramsey: Colorado Fire: Worst in 32 yrs. Perfect storm apparently. 32 thousand being evacuated http://t.co/Qlg8Hi9k,Outsiders,Affected individuals,Related and informative
617,217851914904276992,"Hey Niall ... Come to Colorado? It's smoky because of the fires though :,(",Outsiders,Affected individuals,Related - but not informative
619,217852464341319681,"Heading home from Denver this evening around 7pm, Colorado Springs is on fire http://t.co/0iLh7TkR",Outsiders,Affected individuals,Related - but not informative
620,217852476928430080,"32,000 flee Waldo Canyon Fire: live blog | http://t.co/ffw8AHqT Denver, Colorado http://t.co/LZNuj0ET",Media,Affected individuals,Related and informative
625,217854028837695488,"RT @BabyBash: Yeah I have lots of friends and fam in Colorado,, keep a blessing for them! Battling them big wild fires!! Many lost house ...",Outsiders,Affected individuals,Related - but not informative
629,217859494024196097,I can't believe my city is burning down as we speak .... i love colorado Springs :( I dont want to have to evacuate ...,Eyewitness,Affected individuals,Related - but not informative
631,217860798452731904,Fire burns out of control: Witnesses say Colorado highways are clogged with fleeing refugees and describe the sc... http://t.co/vMR835og,Media,Affected individuals,Related and informative
632,217861666648494080,"Wildfires worsen in Colorado, 32000 flee homes | - Reuters http://t.co/Tm3nswJn",Media,Affected individuals,Related and informative
637,217876086686621696,Just found out one of my friends in Colorado might have lost her apartment to the fires there. Will know more tomorrow. That sucks :(,Eyewitness,Affected individuals,Related - but not informative
639,217879538573643776,"RT @cnni: 32,000 evaculated from Colorado wildfires http://t.co/A6P2z7Kq",Media,Affected individuals,Related and informative
640,217881635742429186,"RT @CNN: Colorado wildfire of 'epic proportions' displaces 32,000; tests firefighters http://t.co/I8T8uaDo",Media,Affected individuals,Related and informative
642,217882478772371456,"#newbedon 6/27/2012 11:30:08 AM Colorado fire near Pikes Peak forces 11,000 from homes http://t.co/UBSlQta9",Media,Affected individuals,Related and informative
645,217891802726928384,RT @jekjenR5: @R5lover96 are you ok cause there's a huge fire in colorado springs and i know you live there so yeah,Eyewitness,Affected individuals,Related - but not informative
647,217895707632353280,"Colorado wildfire of 'epic proportions' displaces 32,000: Firefighters again will battle inferno-like conditions... http://t.co/aQtWGcWt",Media,Affected individuals,Related and informative
652,217951252800221185,RT @nprnews: Thousands Flee Ferocious Fire In Colorado Springs http://t.co/St8r7XdX,Media,Affected individuals,Related and informative
661,217965756699250688,More than 32000 ordered to flee Colorado wildfire - USA TODAY: USA TODAYMore than 32000 ordered to flee Colorado... http://t.co/n3PAgtGJ,Media,Affected individuals,Related and informative
664,217969099576328192,#colorado Colorado Springs wildfire forces more than 32000 from homes as it ... http://t.co/ZZ7gXDAT,Media,Affected individuals,Related and informative
669,217973440647397377,Growing wildfire brings evacuations in Colorado Springs http://t.co/X5y869FQ,Outsiders,Affected individuals,Related and informative
671,217977681084559360,"@d4_aspen Hey Asp! I have friends who live in Colorado Springs,CO and they are evacuating the city becuz of wild fires. Can you please (c)",Eyewitness,Affected individuals,Related - but not informative
675,217981577622335488,"Colorado #wildfires: 32,000 evacuated as blaze jumps perimeter near Colorado Springs | http://t.co/Le3WfoSI",Media,Affected individuals,Related and informative
678,217982928171433984,"Colorado wildfires: 32,000 evacuated as blaze jumps perimeter near Colorado Springs | The Lookout - http://t.co/85g5xASt via @YahooNews",Media,Affected individuals,Related and informative
680,217983259542421504,"@jimsrer “@BuzzFeed: Over 32,000 people were evacuated last night from the path of the Waldo Canyon fire in Colorado http://t.co/MbqIqrbS”",Media,Affected individuals,Related and informative
683,217986644337377281,"I've got family in Colorado Springs, so I've been keeping a close eye on the wildfires through the #nws website.  http://t.co/VjH7qk4c",Eyewitness,Affected individuals,Related - but not informative
689,217989878158340097,Tens of thousands flee homes as Colorado wildfire doubles in size overnight - Fox News: BBC NewsTens of thousand... http://t.co/5CrKMBe8,Media,Affected individuals,Related and informative
690,217989907505872896,Tens of thousands flee homes as Colorado wildfire doubles in size overnight - Fox News,Media,Affected individuals,Related and informative
691,217990901568516096,"Wildfires worsen in Colorado, 32,000 flee homes http://t.co/0kWnzRfn via @reuters",Media,Affected individuals,Related and informative
693,217994668040925184,"32,000 flee wildfire in Colorado. http://t.co/B9kWeVay",Media,Affected individuals,Related and informative
706,218009029325230080,"Colorado wildfire: Last Chance, residents stand tall after huge wildfire http://t.co/7FrVwG9Z",Media,Affected individuals,Related and informative
731,218040608227463169,LA Times -  Parts of Air Force Academy evacuated as Colorado fire rages,Media,Affected individuals,Related and informative
734,218043292615581697,"Destructive #fire near #Colorado Springs, #CO, doubled size overnight to over 24 square miles http://t.co/7iQvHLti",Outsiders,Affected individuals,Related and informative
749,218060300509913088,Mashable: 9 shocking Twitter pictures of Colorado Springs wildfires. Hoping our relatives there are safe. #in http://t.co/KIGP7olQ,Media,Affected individuals,Related - but not informative
757,218066340295090176,"RT @SteveSchmuhl: 32,000+ people evacuated in Colorado Springs #cofires",Outsiders,Affected individuals,Related and informative
767,218076628943777794,"Colorado Wildfire Causes Hotel Closures &amp; Chaos as 32,000 Residents Evacuate http://t.co/dZsO3K7v",Media,Affected individuals,Related and informative
768,218078994514452480,RT @mashable: 9 Shocking Twitter Pictures From the Colorado Springs Wildfire http://t.co/F3esKgym,Media,Affected individuals,Related - but not informative
770,218081842442678272,My home town Colorado Springs CO is on fire. - http://t.co/qOX5W9e6 #mustread,Eyewitness,Affected individuals,Related and informative
779,218094047854739457,"Colorado wildfire: Winds whip flames; 32,000 ordered to evacuate http://t.co/snPcmoSc",Media,Affected individuals,Related and informative
780,218094484091707394,"Colorado fire 'smacks you in the face' - Neighborhoods in Colorado Springs, Colorado, are evacuated as the Waldo Can... http://t.co/UwPRXRwU",Media,Affected individuals,Related and informative
782,218097365565980672,"RT @dailycamera: #FlagstaffFire: #Boulder police asks residents w/ property backing up to open space turn on sprinklers, leave them on , ...",Government,Affected individuals,Related and informative
789,218105351508201473,"RT @bromleyfalco: @KRQEMark Good work on the  #cofire updates Mark. I'm from Denver, been in NM about 9 months now...thx sadly we know fire",Outsiders,Affected individuals,Related - but not informative
793,218110510523088897,"Just found out a good friend's house burnt down today in the forest fires in Colorado. Take care of yourself, my Colorado friends!",Eyewitness,Affected individuals,Related - but not informative
796,218113727537491968,RT @HomefrontHugs: We have hundreds of military families &amp; veterans evacuating from the fires now in Colorado -We needed a wake up c ...,Outsiders,Affected individuals,Related and informative
801,218119763170295808,"RT @WSJ: A Colorado fire forced 32,000 residents to evacuate. It doubled in size overnight to 24+ square miles. Photos: http://t.co/xaZoJRjf",Media,Affected individuals,Related and informative
813,218142412390928384,#Davis Colorado Springs Waldo Canyon wildfire forces thousands to flee flames http://t.co/CqxV9Ie5,Media,Affected individuals,Related and informative
814,218142710203297792,Packed and ready to evacuate if we need to. #WaldoCanyonFire Please pray for the city of Colorado Springs!,Eyewitness,Affected individuals,Related - but not informative
817,218143423222382592,RT @HuffingtonPost: Most residents evacuated from Colo.'s largest wildfire can go home over next 2 days #HighParkFire http://t.co/PFB7Up7a,Media,Affected individuals,Related and informative
822,218156240998629376,Surging Colorado wildfires forcing tens of thousands to flee:  http://t.co/2IAgwmMv,Outsiders,Affected individuals,Related and informative
829,218163107091062784,"Colorado wildfire forces 11,000 people to leave their homes \\ Guardian \\ http://t.co/M2umcoTi",Media,Affected individuals,Related and informative
833,218170359055265794,RT @TheMcJagger: This is Colorado Springs...Unbelievable. It looks like a nuclear bomb went off. http://t.co/Q5D3GCBK,Eyewitness,Affected individuals,Related and informative
836,218175685821345794,"RT @WSJ: A Colorado fire forced 32,000 residents to evacuate. It doubled in size overnight to 24+ square miles. Photos: http://t.co/xaZoJRjf",Media,Affected individuals,Related and informative
850,218204722992123905,terrible forest fires in colorado springs. lived there for a couple of months in the 90s. beautiful hills http://t.co/cmUgoHZo,Outsiders,Affected individuals,Related - but not informative
851,218213421953466369,"#newbedon 6/28/2012 9:25:11 AM Colorado fire near Pike's Peak forces 11,000 from homes http://t.co/dqS5QPpB",Media,Affected individuals,Related and informative
853,218222406144229376,"#newbedon 6/28/2012 10:00:53 AM Colorado fire near Pikes Peak forces 11,000 from homes http://t.co/GXRZSO9G",Media,Affected individuals,Related and informative
854,218222959792365568,"Furious Wildfire in Colorado Leaves Destruction in Its Wake: Thousands have been forced to flee the flames, whic... http://t.co/hocCu04V",Media,Affected individuals,Related and informative
867,218324663309320193,Colorado Springs Fire Consuming Homes Forces 34500 to Flee - San Francisco Chronicle: NDTVColorado Springs Fire ... http://t.co/Tna3jqjW,Media,Affected individuals,Related and informative
881,218356099588440065,RT @PostCrescent: Hundreds of homes destroyed in raging Colorado wildfire. http://t.co/fIjpUehF,Media,Affected individuals,Related and informative
882,218356154126966785,"Furious Wildfire in Colorado Leaves Destruction in Its Wake: Thousands have been forced to flee the flames, whic... http://t.co/wenqUegX",Media,Affected individuals,Related and informative
891,218368254681427968,Thousands take refuge from Colorado wildfires http://t.co/5aTYycCh,Media,Affected individuals,Related and informative
898,218385078051549184,"RT @andrewisliving: In case my friends in other areas of the country haven't heard, this fire in Colorado Springs is a disaster. Houses  ...",Outsiders,Affected individuals,Related and informative
929,218465902277038081,Surging Colorado wildfires forcing tens of thousands to flee  http://t.co/npn75MiV,Media,Affected individuals,Related and informative
932,218469991736033280,the #wildfires in Colorado are out of control! They are across the highway from my friend's apartment... http://t.co/SatCmqxS,Eyewitness,Affected individuals,Related and informative
941,218501633548632065,RT @denverpost: ALERT: Some #WaldoCanyonFire evacuees allowed to return home beginning at 8 p.m. tonight: http://t.co/HKCf3fbF #cofire,Media,Affected individuals,Related and informative
957,218584676581912576,"Colorado fire claims first victim, ranks as state's most destructive: A fierce wildfire that forced the evacuati... http://t.co/YuCmY79u",Media,Affected individuals,Related and informative
959,218603748078002177,"Colorado fire claims first victim, ranks as state's most destructive: COLORADO SPRINGS, Colo. (Reuters) - A fier... http://t.co/EHtjYSII",Media,Affected individuals,Related and informative
962,218612216394551298,1 dead as Colorado fire destroys over 300 homes- uReport: Colorado wildfire http://t.co/cLsbGwpe #IHateTimWaterman,Media,Affected individuals,Related and informative
963,218621913617014784,"Plz Flw @RedneckRag: Colorado fire claims first #victim, ranks as state's most... http://t.co/Sks0LSr6  #ColoradoSprings #firstvictim",Outsiders,Affected individuals,Related and informative
988,218745029013938177,"Colorado wildfires: Human remains found, containment grows http://t.co/oOVh232a",Media,Affected individuals,Related and informative
989,218746408944156672,Sky News - Colorado Wildfires: Blaze Claims First Life http://t.co/VQSsVPnw,Media,Affected individuals,Related and informative
995,218756206850879488,"RT @cnnireport: CO #wildfire changing the landscape, and the people. Everyone is almost in complete limbo, one iReporter says. http:// ...",Media,Affected individuals,Related and informative
1010,218805154361782272,Front page shocker: A Colorado family learns - in a shocking way - that their home has been lost to fire. CNN's ... http://t.co/e9gMqlpu,Media,Affected individuals,Related and informative
1021,218841888084606976,Firefighters search door-to-door for bodies in Colorado wildfire - Fox News: ABC NewsFirefighters search door-to... http://t.co/2LlQFUW5,Media,Affected individuals,Related and informative
1022,218843171545812992,Flames Encroach on Colorado Springs: Some of our viewers in Colorado Springs sent us their pictures of the fire ... http://t.co/5PToqnLk,Media,Affected individuals,Related and informative
1039,218936155071184896,"Police chief: One dead, one missing in Colorado fire - Washington Post http://t.co/AC1LSt1c #PoliceNews",Government,Affected individuals,Related and informative
1044,219345640784797696,#Colorado fire victim films her own evacuation http://t.co/zmqAf3WI,Eyewitness,Affected individuals,Related and informative
1054,219500741948223489,"RT @AdamKilgoreWP: I'll stop calling ballplayers heroes. Meet Mike Wittry, a Colorado Springs fire captain who saved homes as his burned ...",Media,Affected individuals,Related and informative
1071,219829717967179776,Residents tour neighborhoods most devastated by Colorado Springs wildfire - Washington Post... http://t.co/EdWPXMol http://pasta.annabag,Media,Affected individuals,Related and informative
1124,220343121773461504,"Fire evacuation sparks panicked pet exodus - When evacuation orders came at 3 p.m. last Tuesday in Colorado Springs,... http://t.co/BgmVp92D",Media,Affected individuals,Related and informative
1138,220587783893422080,"Please please RT. Help find Lucky Tiny Terrior Mix lost Colorado Springs, worried sick about her. . http://t.co/AVgMkqRi via @pinterest",Eyewitness,Affected individuals,Related - but not informative
1146,220635431186870272,We've reached the point of our trip to Colorado that we should be able to see mountains but because of the wildfires all we see is a haze.,Eyewitness,Affected individuals,Related and informative
1161,221002915156983808,"We're hearing a few smoke reports on the #Boulder scanner this afternoon, so far no confirmed lightning-strike fires",Eyewitness,Affected individuals,Related - but not informative
1165,221094984290545664,Iconic wildfire photo featured burned Colorado home of former Garland residents:  http://t.co/qC9PXUem,Outsiders,Affected individuals,Related and informative
1184,221672451891924994,"Fire near Colorado Springs claims 347 houses, 1 life http://t.co/DFai30Cp",Media,Affected individuals,Related and informative
1259,243361831194857472,En mi Ksa se salió el agua de la pecera y se cayeron adornos #temblorcr,Eyewitness,Affected individuals,Related - but not informative
1450,243367250260803584,"RT @CheliqueSarabia: Estaba chateando con mi hija Wendy quien vive en Costa Rica, cuando ocurrió el terremoto de 7.9. Susto! Gracias a D ...",Eyewitness,Affected individuals,Related - but not informative
1453,243367380280045568,RT @monterocnn: Estoy a la espera de informes twreporteros #sismo #CostaRica,Media,Affected individuals,Related - but not informative
1611,243374485422616576,Ministro Hinzpeter descarta evacuación por el momento tras terremoto en Costa Rica,Outsiders,Affected individuals,Related and informative
1663,243377597579395073,RT @gabydiazaragon: La cruz roja en #CostaRica ha manifestado que no hay víctimas que lamentar tras fuerte sismo ocurrido el día de hoy,NGOs,Affected individuals,Related and informative
1665,243377601790480384,RT @Reuters: Red Cross in Costa Rica says no casualties reported so far after 7.6-magnitude earthquake http://t.co/IroAyLyv,NGOs,Affected individuals,Related and informative
1704,243381145994133504,RT @AlertNet: No casualties reported after Costa Rica quake so far-Red Cross http://t.co/JwixjWBI #redcross #quake #costarica,Media,Affected individuals,Related and informative
1753,243387416449277952,RT @nuevaya: Dos desaparecidos al volcarse lancha por el fuerte oleaje en Bluefields tras terremoto en #Costa Rica #Nicaragua,Media,Affected individuals,Related and informative
1773,243390360884232192,RT @BreakingNews: Costa Rica president says no report of loss of life so far after quake - @Reuters; more updates on http://t.co/BGETbzo ...,Media,Affected individuals,Related and informative
1806,243396065133465600,RT @CNNEEfans: ACTUALIZACIÓN: Presidente de #CostaRica Chinchilla dice que hay reportes de daños pero no muertes y de heridos tras el te ...,Media,Affected individuals,Related and informative
1807,243396081877143552,RT @BreakingNews: Costa Rica president says no report of loss of life so far after quake - @Reuters; more updates on http://t.co/BGETbzo ...,Media,Affected individuals,Related and informative
1827,243401098281512960,RT @tweet_quake: COSTA RICA. Confirmada una mujer fallecida por un ataque cardiaco durante el terremoto/ vía @LauraRodriguezJ,Media,Affected individuals,Related and informative
1847,243406622179856384,"Terremoto de 7,6 grados sin víctimas en Costa Rica, alerta de tsunami http://t.co/AYEZDR34 vía @msnlatam",Media,Affected individuals,Related and informative
1854,243408232788414464,"Terremoto en Costa Rica, deja dos muertos.. y daños estructurales, de consideración..",Media,Affected individuals,Related and informative
1856,243409243628257280,DICE: Reuters: Red Cross says two people dead from Costa Rica earthquake; one fatality the resu... http://t.co/02a3OoUX #cuba #abajoRaul,NGOs,Affected individuals,Related and informative
1857,243409293934723072,"Update: Red Cross says 2 dead in Costa Rica earthquake, one of them from heart attack. (@AlertNet)",NGOs,Affected individuals,Related and informative
1868,243411898605907968,RT @DarinRMcClure: Red Cross in Costa Rica says no casualties reported so far after the massive 7.9 magnitude earthquake.,Outsiders,Affected individuals,Related and informative
1872,243413253374480385,RT @SantiContreras: URGENTE - Cruz Roja de Costa Rica confirma dos muertos por el terremoto de 7.6 grados.,NGOs,Affected individuals,Related and informative
1882,243417254748893184,"#worldnews Powerful quake hits Costa Rica, two dead - Reuters: http://t.co/n1r84z2j.auPowerful q... http://t.co/kZjsFTDY @WideRangeMarket",Media,Affected individuals,Related and informative
1887,243419578393321472,"Powerful quake hits Costa Rica, two dead - Yahoo! News http://t.co/oKAri8Tq via @YahooNews",Media,Affected individuals,Related and informative
1896,243426314432954369,"COSTA RICA TERREMOTO: EUA retira alerta de tsunami, e Costa Rica confirma 1ª morte após terremoto http://t.co/EyGTgSEt",Media,Affected individuals,Related and informative
1897,243426675155685377,"Powerful quake hits Costa Rica, two dead - Reuters India: IBNLive.comPowerful quake hits Costa Rica, two deadReu... http://t.co/fdR7rYY2",Media,Affected individuals,Related and informative
1899,243427237188210688,"Two dead, 20 injured as major earthquake  at magnitude 7.6 damages Costa Rica coast, Red Cross says.",NGOs,Affected individuals,Related and informative
